Ice core site,"Latitude, oN","Longitude, oE","Elevation, m","Approximate precipitation rte, mm/y",Chronology reference,Previous rBC references
THW2010,-77,-121.2,1765,272,1,"10, 13"
WD,-79.5,-112.1,1766,210,1,"10, 16"
DIV2010,-76.8,-101.7,1329,372,1,"10, 13"
PIG2010,-78,-96,1593,398,1,"10, 13"
Gomez,-73.6,-70.4,1400,690,"1, 2",10
JRIBAS,-64.2,-57.7,1542,530,3,"3, 10"
B40,-75,0.1,2890,68,1,"3, 10, 14"
NORUS_8_7,-74.1,1.6,2700,86,1,"3, 10"
NORUS_7_2,-76.1,22.5,3582,33,1,"10, 15"
B53,-76.8,31.9,3728,29,3,"3, 10"
NORUS_7_5,-78.6,35.6,3619,24,1,"3, 10, 15"
NORUS_7_7,-82.1,54.9,3725,30,1,"3, 10, 15"
Aurora_Basin,-71.2,111.4,2690,112,10,10
W10,-66.8,111.6,1390,352,1,10
Illimani,-16.7,-67.8,6300,580,4,4
D4,71.4,-44,2766,410,5,"11, 17"
Summit2010,72.6,-38.3,3258,220,5,11
NEEM_2011_S1,77.5,-51.1,2480,210,5,11
Tunu2013,78,-33.8,2000,100,5,11
ACT11d,66.5,-46.3,2148,334,5,11
ACT2,66,-45.2,2408,379,5,"11, 12"
NGT_B19,78,-36.4,2270,100,5,11
Humboldt,78.5,-56.8,1985,142,5,11
Flade_Isblink,81.6,-15.7,618,372,11,11
Hans_Tausen,82.5,-37.5,1275,102,18,18
NasaU,73.8,-49.5,2368,340,6,18
Akademii_Nauk,80.5,94.8,750,492,5,11
Colle_Gnifetti,45.9,7.9,4450,450,7,"7, 11"
Upper_Fremont_Glacier,43.1,-109.6,4100,1000,8,8
McCall_Glacier,69.3,-143.8,2400,490,18,18
Eclipse,60.5,-139.5,3017,310,9,18
