Reference Number,Reference details
1,"McConnell et al. (2014) Sci Rep, DOI: 10.1038/srep05848."
2,"Thomas et al. (2008) Geophys Res Lett, doi:10.1029/2007GL032529."
3,"McConnell et al. (2021) Nature, doi:10.1038/s41586-021-03858-9."
4,"Osmont et al. (2019) Clim. Past, doi:10.5194/cp-15-579-2019."
5,"McConnell et al. (2019) Proc Natl Acad Sci U.S.A., doi:10.1073/pnas.1904515116.  "
6,"Mosley-Thompson et al. (2001) J Geophys Res., doi:https://doi.org/10.1029/2001JD900067."
7,"Sigl et al. (2018) Cryosphere, doi:10.5194/tc-12-3311-2018."
8,"Chellman et al. (2017), Environ Sci Technol, doi:10.1021/acs.est.6b06574."
9,"Gross et al. (2012) J Geophys Res, doi:10.1029/2011JD017270."
10,"Liu et al. (2021) Science Advances, doi:10.1126/sciadv.abc1379."
11,"Eckhardt at al. (2023) Nat Comms, doi:10.1038/s41467-022-35660-0."
12,"McConnell, J.R., & R. Edwards (2008) Proc Natl Acad Sci U.S.A., doi:10.1073/pnas.0803564105."
13,"Pasteris et al. (2014) J Geophys Res, doi:10.1002/2013JD020720."
14,"Arienzo et al. (2017)  J Geophys Res-Atmos, doi:10.1002/2017JD026599."
15,"Bisiaux et al. (2012) Atmos Chem Phys, doi:10.5194/acp-12-3799-2012."
16,"Bisiaux et al. (2012) Atmos Chem Phys, doi:10.5194/acp-12-4107-2012."
17,"McConnell et al. (2007)  Science, doi:10.1126/science.1144856.   "
18,"Zhang et al. (2024), in review."
