Year,THW,WD,DIV,PIG,Gomez,JRIBAS,B40,NORUS_8_7,NORUS_7_2,B53,NORUS_7_5,NORUS_7_7,Aurora_Basin,W10,Illimani,D4,Summit2010,NEEM-2011-S1,Tunu2013,ACT11d,ACT2,NGT-B19,Humboldt,Flade-Isblink,Hans-Tausen,NasaU,Akademii-Nauk,Colle_Gnifetti,Upper-Fremont-Glacier,McCall-Glacier,Eclipse
1750,-999.0,21.4,-999.0,-999.0,-999.0,58.1,29.6,13.7,9.5,5.4,5.9,6.4,20.4,28.9,150.1,262.5,371.5,438.4,87.0,224.3,-999.0,143.7,237.0,263.2,62.6,151.5,224.6,1012.5,216.6,-999.0,644.4
1751,-999.0,47.5,-999.0,-999.0,-999.0,45.4,10.8,10.0,9.1,3.2,4.7,5.6,73.9,12.0,139.2,922.0,288.6,1042.8,677.9,308.4,-999.0,233.5,602.9,1048.9,35.0,851.3,533.8,621.0,407.9,-999.0,1113.4
1752,-999.0,18.0,-999.0,-999.0,-999.0,66.7,10.7,5.7,27.7,5.7,5.0,6.1,29.0,29.0,237.4,443.0,218.4,670.3,21.3,639.4,-999.0,194.8,211.2,962.4,38.4,677.9,493.0,994.5,1179.4,-999.0,641.9
1753,-999.0,19.8,-999.0,-999.0,-999.0,33.7,21.2,10.2,13.5,6.7,6.4,5.0,11.7,53.4,57.1,175.8,157.3,501.8,83.9,170.0,-999.0,114.9,94.7,682.4,23.1,653.2,882.7,841.5,1092.7,-999.0,1153.0
1754,-999.0,12.0,-999.0,-999.0,-999.0,120.2,13.4,23.1,6.1,6.9,6.3,5.0,16.7,27.2,190.6,1834.4,266.9,391.9,66.0,181.9,-999.0,105.3,121.3,438.2,68.2,308.7,1381.9,2403.0,1275.5,-999.0,1045.0
1755,-999.0,14.0,-999.0,-999.0,-999.0,32.6,29.4,8.2,4.8,5.9,3.7,7.0,22.5,14.7,140.0,449.5,497.4,508.5,69.7,1505.7,-999.0,85.1,500.3,410.0,149.4,532.3,1535.9,369.0,938.9,-999.0,901.4
1756,-999.0,24.3,-999.0,-999.0,-999.0,49.4,10.2,22.2,5.9,7.9,3.2,9.1,22.4,16.6,236.6,379.4,322.8,599.6,116.6,905.5,-999.0,178.0,320.1,645.1,101.9,336.1,464.9,580.5,1435.0,-999.0,849.7
1757,-999.0,14.4,-999.0,-999.0,-999.0,63.1,4.7,5.2,18.7,6.6,5.9,7.5,27.0,47.5,237.6,292.4,226.0,278.9,85.5,1190.4,-999.0,124.6,137.3,480.5,97.6,187.3,926.7,1246.5,831.6,-999.0,966.7
1758,-999.0,32.5,-999.0,-999.0,-999.0,38.0,5.5,27.6,8.8,14.8,15.0,5.4,10.8,38.1,456.5,602.3,305.0,859.3,76.8,407.5,-999.0,287.1,860.1,513.4,32.8,429.8,901.2,931.5,3147.9,-999.0,1467.7
1759,-999.0,17.1,-999.0,-999.0,-999.0,73.5,11.2,1.5,15.1,13.9,17.3,7.1,7.8,15.4,115.9,262.1,244.8,469.5,67.7,288.7,-999.0,27.5,242.2,494.5,80.6,416.4,1111.5,1318.5,3728.4,-999.0,2335.6
