"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
-75,2025,1.44669258396755,1.44669258396755,-1.17076369819038,1
-74,2024,1.44669258396755,1.44669258396755,-1.09086183941262,1
-73,2023,1.44669258396755,1.44669258396755,-1.01095998063486,1
-72,2022,1.2084407683718,1.21146150873195,-0.930245530272726,2
-71,2021,0.732905264841475,0.74251589538105,-0.848687453728385,8
-70,2020,0.497364070816238,0.720918262120041,-0.767129377184044,12
-69,2019,0.258309166699582,0.96576614746001,-0.691746776070958,13
-68,2018,0.0432051570621336,0.477879403553168,-0.611869756009498,14
-67,2017,-0.224338155957487,-0.082819727544034,-0.717768137771212,14
-66,2016,-0.298125644183918,-0.189377166153804,-0.615511520472058,15
-65,2015,-0.296705973792617,-0.0726192906905461,-0.467807248823375,17
-64,2014,-0.276495876996462,0.163472311586466,-0.439998196770348,24
-63,2013,-0.266622418044375,0.239455036475129,-0.422867497502811,24
-62,2012,-0.258918061844385,0.279640516517238,-0.406732508946559,34
-61,2011,-0.22750285274745,0.305304756420363,-0.379561065290416,37
-60,2010,-0.210576236652368,0.252760832866563,-0.349822279347796,39
-59,2009,-0.21805667433513,0.0958351269529626,-0.363243571422365,42
-58,2008,-0.223603879961578,-0.0102987402921135,-0.385615045102977,43
-57,2007,-0.225751830608653,-0.0228386330443015,-0.397875414837333,43
-56,2006,-0.212402826061435,-0.0148851209864025,-0.40930633121914,45
-55,2005,-0.218238011113876,0.011772672899742,-0.463689649010971,47
-54,2004,-0.251765323566399,0.00383913905546106,-0.529328481827233,51
-53,2003,-0.271405908454629,0.0319591275141543,-0.56254136217184,49
-52,2002,-0.255115949631363,0.0636026132263435,-0.568325105702304,52
-51,2001,-0.26242490578215,0.0647666122259571,-0.575247574468438,49
-50,2000,-0.267190692118933,0.0648851714446983,-0.567403192725821,49
-49,1999,-0.236403578107409,0.0741456772255975,-0.534292285879048,52
-48,1998,-0.200957110055304,0.0921889686784834,-0.480115575934282,54
-47,1997,-0.174856233793794,0.0822349731313617,-0.428594462362818,54
-46,1996,-0.15076822174114,0.0802416620074181,-0.395842200172065,55
-45,1995,-0.122038166690905,0.0850419133587166,-0.357603294495936,57
-44,1994,-0.089880263292189,0.113549393526802,-0.320682367080186,59
-43,1993,-0.0653214575854445,0.148483418612677,-0.297928968977025,59
-42,1992,-0.0534359326531054,0.180741189884226,-0.29888021999438,59
-41,1991,-0.0514516923968672,0.18851853958467,-0.307971030564519,59
-40,1990,-0.0551738487390755,0.22306023780199,-0.326943600671913,58
-39,1989,-0.0702855329905658,0.25242954225185,-0.355734384999919,57
-38,1988,-0.100019679116055,0.267885807995769,-0.397316695844401,55
-37,1987,-0.153756667112536,0.198347268819648,-0.426284819368271,52
-36,1986,-0.199859550905886,0.118672958144817,-0.43250031895697,55
-35,1985,-0.21481704436009,0.0459605501066766,-0.435975848903294,55
-34,1984,-0.196649531351055,0.0244146411764227,-0.396493800639543,53
-33,1983,-0.17072141077299,0.0406788729838832,-0.350423158294122,51
-32,1982,-0.128684106834464,0.0769361928883015,-0.341169187956543,52
-31,1981,-0.0915101943793035,0.117361410955847,-0.328124313865253,52
-30,1980,-0.0942706204427319,0.129704208327746,-0.322691837111721,51
-29,1979,-0.121988858778865,0.0900583330026963,-0.336265021142425,52
-28,1978,-0.151252165280893,0.0687235587828391,-0.35903527720565,51
-27,1977,-0.179518488332411,0.047858760849649,-0.386776203796589,52
-26,1976,-0.194262896926025,0.0452398984557833,-0.397317167480936,57
-25,1975,-0.185413012040257,0.0531647778668304,-0.391166897528021,55
-24,1974,-0.169566616516787,0.0278885075060245,-0.36603559706839,54
-23,1973,-0.170636346732206,0.0161624632216763,-0.345332187968387,53
-22,1972,-0.169998341906692,0.0323222808272758,-0.362302684859674,55
-21,1971,-0.171952614305175,0.0622283482048822,-0.384206294971541,53
-20,1970,-0.183747563966302,0.0718241876461441,-0.4443710862774,55
-19,1969,-0.190513524073301,0.107340001493695,-0.497516332248751,56
-18,1968,-0.154054042236227,0.158337307290616,-0.496181665594006,56
-17,1967,-0.0971007852623044,0.196409065537561,-0.4473538705364,56
-16,1966,-0.0557659794678575,0.209440144638181,-0.387230396943641,55
-15,1965,-0.00382923956333481,0.240787442989008,-0.314952208720379,51
-14,1964,0.0465191339308361,0.29294963472031,-0.240992334836399,50
-13,1963,0.0367711503794865,0.299305772527877,-0.225045968662341,52
-12,1962,-0.0145359185707464,0.284181794102652,-0.288418513212299,52
-11,1961,-0.105455654570555,0.198758489212583,-0.373554956340124,51
-10,1960,-0.200146821855441,0.0848766612918728,-0.432801161053722,51
-9,1959,-0.277367577661588,0.0179674858892241,-0.495106483815586,50
-8,1958,-0.312522894014309,-0.0487914193346555,-0.526111344106114,53
-7,1957,-0.294669115486954,-0.07322004098156,-0.50279765802255,52
-6,1956,-0.243445521681643,-0.0291518484878825,-0.440680336008624,52
-5,1955,-0.151993959057577,0.0828705151249894,-0.380729042355538,51
-4,1954,-0.0366263272097228,0.245800684308239,-0.354202308857457,54
-3,1953,0.0390956961582686,0.38277051495221,-0.34062446382854,53
-2,1952,0.070050743836225,0.441200856929033,-0.369805700938502,55
-1,1951,0.0930946666841984,0.49441797321765,-0.380307570965536,56
0,1950,0.100899777866242,0.491452331856811,-0.393123565409679,56
1,1949,0.0881749490874217,0.468750937585244,-0.367711350558076,58
2,1948,0.109842791395946,0.470018267441094,-0.303596332456031,58
3,1947,0.172501017604208,0.508217435283905,-0.204373277092855,57
