"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
-75,2025,1.28984825439455,1.42535781981043,-0.628662528767945,18
-74,2024,1.10628983466612,1.22823402856798,-0.602044355899319,25
-73,2023,0.888403791797421,1.02017189465095,-0.571712587218598,25
-72,2022,0.652358410795603,0.837087572195611,-0.544679392897548,34
-71,2021,0.414321976667833,0.664957141074501,-0.526061983001075,37
-70,2020,0.190462774421275,0.496410000166883,-0.505426424064802,39
-69,2019,-0.00305091093690742,0.351227508281047,-0.478965238403097,42
-68,2018,-0.150050794399551,0.240516503005844,-0.462645484795276,43
-67,2017,-0.234368590959491,0.165162990121645,-0.445771198094314,43
-66,2016,-0.247189746487088,0.12969460388261,-0.425508293877174,45
-65,2015,-0.243907905194782,0.101164708110553,-0.406778743192373,47
-64,2014,-0.239795351741896,0.0854731242755326,-0.403662114088116,52
-63,2013,-0.235398184248482,0.0636738685880709,-0.402749162386204,54
-62,2012,-0.231262500834592,0.0488817866095546,-0.394209224668774,57
-61,2011,-0.227934399620275,0.041425076484318,-0.402846843988647,60
-60,2010,-0.225959978725584,0.0235677436257659,-0.410504777210555,61
-59,2009,-0.225885336270568,0.0139043279932831,-0.413395503222368,63
-58,2008,-0.22825657037528,-0.00114605719064656,-0.405095326677726,64
-57,2007,-0.23164644262074,-0.00969546487321449,-0.409723279019527,65
-56,2006,-0.232542809824477,-0.0079775293692008,-0.420028990969711,66
-55,2005,-0.231099303019925,-0.00839483575733432,-0.423304304158424,69
-54,2004,-0.227572948387736,-0.00434997751919445,-0.424764009605339,70
-53,2003,-0.222220772108563,-0.000708638119930723,-0.423490401459691,71
-52,2002,-0.215299800363058,0.00583072061574913,-0.419606351212058,71
-51,2001,-0.207067059331876,0.00193464309984712,-0.414701120615135,73
-50,2000,-0.197779575195668,0.0102208304272759,-0.402028238118837,73
-49,1999,-0.18773357777114,0.0220305485746566,-0.39370410548265,74
-48,1998,-0.178207730877082,0.0359038536318685,-0.380279753225308,75
-47,1997,-0.169677299458596,0.0431286317301183,-0.376300454005369,75
-46,1996,-0.162085588736206,0.0545808030678989,-0.364363472052498,77
-45,1995,-0.155375903930433,0.0599708040655874,-0.360661752452311,77
-44,1994,-0.149491550261802,0.0652227206992429,-0.355701541150878,76
-43,1993,-0.144375832950835,0.066396884088949,-0.345300087604001,75
-42,1992,-0.139972057218056,0.0657552272210528,-0.335527701578219,75
-41,1991,-0.136223528283987,0.0671040310558503,-0.324640440132438,75
-40,1990,-0.13315741358132,0.0607302627304681,-0.315364712070586,74
-39,1989,-0.131032071664235,0.0605589636746334,-0.308959287062776,75
-38,1988,-0.129820402179006,0.0584923363213473,-0.298346968694349,75
-37,1987,-0.129465100072234,0.0546928547490151,-0.288736945186175,75
-36,1986,-0.129908860290515,0.0404717094608714,-0.281896713123304,76
-35,1985,-0.131094377780449,0.0286903373946608,-0.276332690024359,77
-34,1984,-0.132964347488635,0.0190059478083194,-0.271175161654018,77
-33,1983,-0.135461464361672,0.00986032050915366,-0.27445056961177,76
-32,1982,-0.138527733677945,-0.00326789212647023,-0.273760924132972,78
-31,1981,-0.141376013945223,-0.0112177269902661,-0.281141659745385,77
-30,1980,-0.143377339530438,-0.021476104690805,-0.283461848462968,77
-29,1979,-0.144582409115252,-0.0217787775181808,-0.294827464552555,78
-28,1978,-0.145041921381329,-0.0162442346691759,-0.301757943997489,78
-27,1977,-0.144806575010329,-0.00803172487157606,-0.309492717016636,77
-26,1976,-0.143927068683916,0.00105809948417843,-0.319017972495258,78
-25,1975,-0.142454101083753,0.0144251302699833,-0.321429873617966,78
-24,1974,-0.140438370891502,0.02207127160581,-0.325548814276037,77
-23,1973,-0.138102926561671,0.0323222690258646,-0.329171393367098,77
-22,1972,-0.136762678027033,0.0378268308388079,-0.335983837957021,75
-21,1971,-0.136534804017067,0.0390908338950373,-0.336073399951645,75
-20,1970,-0.137239418810328,0.0410735337925929,-0.333375182946153,74
-19,1969,-0.13869663668537,0.0390318339346033,-0.334578779469239,75
-18,1968,-0.140726571920748,0.031699445514443,-0.338166165500121,75
-17,1967,-0.143149338795018,0.0272747290209615,-0.340497936436621,74
-16,1966,-0.145785051586734,0.025242249637019,-0.339243992628443,75
-15,1965,-0.148453824574452,0.0204950738235544,-0.334849668821425,74
-14,1964,-0.149216129102657,0.0211314410227729,-0.338830294032791,78
-13,1963,-0.14535726441064,0.0244702938257212,-0.337371358480921,78
-12,1962,-0.137671678291719,0.0331109560124456,-0.333956248555487,80
-11,1961,-0.127018390263338,0.0461821252407527,-0.329601856064929,80
-10,1960,-0.114256419842944,0.0595031585357067,-0.325622354559591,80
-9,1959,-0.100244786547984,0.0755228842112297,-0.325446886017342,81
-8,1958,-0.0858425098959036,0.096611781509233,-0.321988040569651,80
-7,1957,-0.0719086094041486,0.119580694276474,-0.314524248599046,80
-6,1956,-0.0591672112660194,0.144180921302557,-0.312116784965635,80
-5,1955,-0.0453453042580761,0.170463527462691,-0.304221497638843,80
-4,1954,-0.029515833898782,0.19289399832938,-0.296940333708384,80
-3,1953,-0.0119066096844313,0.217141170121538,-0.289680224850637,80
-2,1952,0.00725455888868195,0.248343016640888,-0.275041927384955,80
-1,1951,0.0277398623242637,0.27666817452353,-0.259745781992737,79
0,1950,0.0493214911260198,0.311477252468511,-0.237425181243411,79
1,1949,0.0717716357976561,0.338828819673738,-0.216365574925075,79
2,1948,0.0948624868428786,0.371114754528061,-0.195324729178938,81
3,1947,0.117935836825166,0.399785195366346,-0.170088631188191,81
4,1946,0.139442415086683,0.424686804823349,-0.144751173157413,81
5,1945,0.159312521380197,0.448186527296121,-0.132153630132611,80
6,1944,0.177600095272282,0.463321703050093,-0.113241906761843,80
7,1943,0.19435907632951,0.477419740397354,-0.0999600935331354,83
8,1942,0.209643404118456,0.485935699014769,-0.0811737953578596,81
9,1941,0.223507018205691,0.493926073530013,-0.0723714911331469,82
10,1940,0.236003858157788,0.497295091011482,-0.062090498025481,81
11,1939,0.247185233885927,0.508688808048276,-0.0534190470954751,82
12,1938,0.256398076606791,0.512518935143618,-0.0470540549949614,84
13,1937,0.263309119944611,0.517957770765007,-0.0425613720074555,84
14,1936,0.268211861495507,0.526144213576473,-0.0323660949978606,85
15,1935,0.271399798855598,0.531522747696929,-0.0260607683366583,84
16,1934,0.273166429621003,0.541884408585027,-0.0261249850254077,84
17,1933,0.273805251387842,0.554571298412399,-0.0279416165991999,81
18,1932,0.273609761752234,0.569636044249626,-0.0292269787585742,81
19,1931,0.272873458310298,0.584578607969523,-0.0353892756142759,80
20,1930,0.271949674164515,0.585836877179916,-0.0465315158133486,80
21,1929,0.271419842795777,0.593709996850186,-0.0519100714513718,82
22,1928,0.271336230060202,0.600609400097928,-0.0570242906870267,83
23,1927,0.271658545801875,0.608877045059027,-0.06443358473397,84
24,1926,0.272346499864879,0.612646756476577,-0.065891364678559,84
25,1925,0.273359802093297,0.613771177413652,-0.0683871052075736,84
26,1924,0.274658162331211,0.609729400971264,-0.0675674898593494,87
27,1923,0.276201290422705,0.603660423251716,-0.0600286074494499,87
28,1922,0.277948896211863,0.591832140210614,-0.0507708872560544,87
29,1921,0.280041404013411,0.582680772626742,-0.0413917378306715,88
30,1920,0.282702072906657,0.580812983722986,-0.0275375041975327,89
31,1919,0.285853245403024,0.572739945089198,-0.0166315497415656,89
32,1918,0.289413468769297,0.560885196365245,4.043873783091e-05,89
33,1917,0.293301290272266,0.551440601211519,0.0202325368552772,88
34,1916,0.297435257178717,0.544550950776907,0.0368671962607064,89
35,1915,0.301733916755437,0.530356990640597,0.0598966600409756,88
36,1914,0.306115816269214,0.516766279878031,0.0802118337005364,88
37,1913,0.310450899106145,0.504296246859635,0.0937816114597674,88
38,1912,0.31383209105559,0.499435339423762,0.102650051547967,85
39,1911,0.315984930604889,0.493018987350586,0.10532646930932,86
40,1910,0.316964103110633,0.48997224770007,0.112117562631224,85
41,1909,0.316824293929414,0.485394606337183,0.113533909449666,85
42,1908,0.315620188417824,0.485386567220768,0.106316113120955,85
43,1907,0.313406471932454,0.485487187968879,0.0915096320875778,84
44,1906,0.310237829829896,0.486116329041262,0.0813726954205161,85
45,1905,0.306168947466743,0.483855080867642,0.0698370922420112,85
46,1904,0.301805080021317,0.48624015611025,0.056085967007971,86
47,1903,0.298786397634276,0.493359667849115,0.0436937636960519,86
48,1902,0.297115782301139,0.502402879835808,0.0290340631768318,86
49,1901,0.296679622718577,0.510729220203887,0.0258913018129602,85
50,1900,0.297364307583262,0.518808302171131,0.016259392203516,85
51,1899,0.299056225591866,0.5270662857713,0.0163768956478109,86
52,1898,0.301641765441059,0.532239498577094,0.0140490904503923,86
53,1897,0.305007315827514,0.541135012496841,0.0176110266403752,85
54,1896,0.309017403394193,0.547390674007712,0.0176461007412126,83
55,1895,0.310715563296485,0.548828625793854,0.0172578318619367,81
56,1894,0.30823632852008,0.544376829613254,0.0158811396422493,81
57,1893,0.301803274087344,0.535220336441484,0.0159957491851243,78
58,1892,0.291639975020645,0.522462191170131,0.0127268462298933,78
59,1891,0.277970006342349,0.507715485616462,0.00492038700678583,81
60,1890,0.261016943074824,0.486699720197344,0.000861908066847281,82
61,1889,0.241004360240435,0.463557503575067,-0.0128544299761958,82
62,1888,0.21815583286155,0.42949480012326,-0.0216435676664246,84
63,1887,0.192696161927419,0.393923887958088,-0.0361317877870325,86
64,1886,0.164926456952172,0.35878989326818,-0.0538222239025758,85
65,1885,0.135250864467367,0.324156531803488,-0.0709017311969033,84
66,1884,0.10408010266995,0.283782195683214,-0.0884147831749693,86
67,1883,0.0718248897568699,0.246049525336344,-0.114582219525081,87
68,1882,0.0388959439250742,0.20875738182118,-0.13890361685909,88
69,1881,0.0057039833715104,0.174615991576016,-0.167228146947757,89
