"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
-75,2025,10.0571629531947,12.3815773034173,-1.27026489509509,0
-74,2024,9.17896032940785,11.3020215716319,-1.21091711909864,0
-73,2023,8.30075770562101,10.2224658398465,-1.15148427344583,0
-72,2022,7.42255508183417,9.14291010806108,-1.09199429679597,0
-71,2021,6.54435245804733,8.06335437627569,-1.0325043201461,0
-70,2020,5.66614983426049,6.98416001814248,-0.97095430454961,1
-69,2019,4.78794721047366,5.90983268169692,-0.908181895144359,2
-68,2018,3.90974458668682,4.83087967698796,-0.850261017287622,7
-67,2017,3.03154196289998,3.75873076845218,-0.79532499316031,7
-66,2016,2.15333933911314,2.6872590440254,-0.736134911127074,8
-65,2015,1.2751367153263,1.62035908387785,-0.67877709572465,10
-64,2014,0.225341783785295,0.745858995151406,-0.625491912656146,11
-63,2013,-0.44165683336105,0.21543746516289,-0.567913067685172,12
-62,2012,-0.426228647310359,-0.0587184306874497,-0.532798002736356,17
-61,2011,-0.371760324808861,-0.04095258214824,-0.511408423860667,26
-60,2010,-0.306584412711883,0.103727293999167,-0.513037005328672,34
-59,2009,-0.242590364735601,0.180302130334485,-0.527098677074243,37
-58,2008,-0.184756687079471,0.187130317601271,-0.492874975414699,42
-57,2007,-0.0994487788260012,0.231764195317351,-0.422795062335386,44
-56,2006,-0.0162095435052813,0.266824210342727,-0.310070056072892,45
-55,2005,0.029027316577647,0.31692998449519,-0.276375008413255,44
-54,2004,0.0616796147892726,0.375600367823837,-0.240959989106179,46
-53,2003,0.08958433830928,0.393984656497151,-0.221745418227054,48
-52,2002,0.0649008106228674,0.356971186932806,-0.24027831485946,51
-51,2001,-0.0132750804963425,0.276121167414689,-0.313639942362436,53
-50,2000,-0.0820539517215898,0.189323447736248,-0.368963106135189,56
-49,1999,-0.138180234420164,0.101798745846782,-0.409673232072274,60
-48,1998,-0.219907980722792,0.00582208952794461,-0.468304701623747,63
-47,1997,-0.279438540486603,-0.0539847199005577,-0.532114328965514,58
-46,1996,-0.288001350320462,-0.0515932146940225,-0.569556239350936,58
-45,1995,-0.236746072331585,0.0268033892694041,-0.530234485997562,59
-44,1994,-0.155992417032225,0.131660303678664,-0.456988021217997,60
-43,1993,-0.0949189015484171,0.206797215472531,-0.395335488723765,61
-42,1992,-0.0428812608865385,0.245623322505618,-0.31330590284116,66
-41,1991,0.00375138878137686,0.25851102471142,-0.24052051300837,66
-40,1990,0.020408382619741,0.260387058429012,-0.187304193529899,64
-39,1989,0.0401748362557096,0.313032066062925,-0.194123344345377,65
-38,1988,0.0742574866151271,0.376576138894872,-0.193184668377001,64
-37,1987,0.107718020494454,0.432549597855009,-0.168089591304837,63
-36,1986,0.155140465997319,0.471806128172551,-0.120400451837066,64
-35,1985,0.202660647473929,0.492382341575578,-0.0637429704874383,67
-34,1984,0.220530611851022,0.485572462587016,-0.0281137244744409,71
