"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
-75,2025,-0.702536321467321,0.868183420537699,-1.74128987966941,10
-74,2024,-0.667333819993921,0.816420941961119,-1.64218871890151,11
-73,2023,-0.632131318520521,0.773835184011433,-1.54308755813361,12
-72,2022,-0.59692881704712,0.729785226380698,-1.44537066488535,17
-71,2021,-0.56172631557372,0.680718505475635,-1.3516474825159,26
-70,2020,-0.52652381410032,0.633444024379652,-1.26157064554207,34
-69,2019,-0.491321312626919,0.588241956550939,-1.17644186546253,37
-68,2018,-0.456118811153519,0.542846129299438,-1.07986999299369,42
-67,2017,-0.420916309680119,0.504106812957635,-0.985644643510394,44
-66,2016,-0.385713808206718,0.463275752892556,-0.893852601390489,45
-65,2015,-0.350511306733318,0.426603129015662,-0.79872540205207,45
-64,2014,-0.310750684640691,0.38028253114391,-0.709362138087432,47
-63,2013,-0.26424607747179,0.336649683605159,-0.625503593617465,49
-62,2012,-0.214555869469881,0.325279869659763,-0.537483430729146,51
-61,2011,-0.16523844487823,0.288386477926811,-0.465929273705111,53
-60,2010,-0.119852187940104,0.276627690370395,-0.399889110208244,56
-59,2009,-0.0819554828987705,0.251308607332734,-0.357649993044582,61
-58,2008,-0.0551067139974956,0.267123915683815,-0.329355430188809,64
-57,2007,-0.0428642654795459,0.252924136399004,-0.313272312137563,64
-56,2006,-0.0436164053772621,0.244130018535861,-0.310395461525687,64
-55,2005,-0.0451810774395976,0.239580208810673,-0.311479337957523,66
-54,2004,-0.0469451254464452,0.226200939034723,-0.307885192464188,66
-53,2003,-0.0490418821938409,0.210571902677862,-0.304035113975195,68
-52,2002,-0.0516046804778207,0.190878073271118,-0.295196003531838,73
-51,2001,-0.0547668530944205,0.178443247252278,-0.298562943243602,74
-50,2000,-0.0586617328396762,0.169878189405682,-0.301517626510986,74
-49,1999,-0.0634226525096239,0.150314739926519,-0.294614755362815,76
-48,1998,-0.0688764311631713,0.137421706331341,-0.286506499236322,76
-47,1997,-0.0725524836312803,0.128211762108425,-0.281570801733814,77
-46,1996,-0.073487860228255,0.119984397827948,-0.272794625068141,77
-45,1995,-0.0711934743436296,0.114815241018311,-0.26421536416932,77
-44,1994,-0.0651802393669384,0.124425208407114,-0.253362480667287,79
-43,1993,-0.0549590686877156,0.131638556925746,-0.236654217920172,79
-42,1992,-0.0400408756954955,0.139124594586917,-0.219792064551316,80
-41,1991,-0.0199365737798124,0.157872035184505,-0.198174528307649,80
-40,1990,0.00575183485163889,0.178726515557477,-0.177915350946148,80
-39,1989,0.0326332581719041,0.211477663191956,-0.142288454862075,80
-38,1988,0.0578863180751776,0.23896913940862,-0.116721666732395,82
-37,1987,0.0812576985864429,0.263348865574595,-0.0912593843937988,82
-36,1986,0.102494083730684,0.283611517094772,-0.0708698675964607,81
-35,1985,0.121342157532883,0.301515270507143,-0.0506706075792206,81
-34,1984,0.137548604018026,0.313599304868129,-0.0317481844529129,83
-33,1983,0.150860107211094,0.325741519900781,-0.0128087616756664,83
-32,1982,0.161023351137073,0.332755501028827,0.00323656082398941,83
-31,1981,0.168143463638215,0.334565028771068,0.0141947448280635,83
-30,1980,0.172678542048793,0.337943923438734,0.0178512200090723,82
-29,1979,0.174622308292855,0.331745590940319,0.0219363020349879,82
-28,1978,0.173961795022387,0.326320794868158,0.0205075620823629,82
-27,1977,0.170684034889374,0.318326341926717,0.019567643179198,80
-26,1976,0.164776060545803,0.312532041403604,0.0102426205131142,80
-25,1975,0.156224904643658,0.295237590953445,0.00325441099322742,80
-24,1974,0.145017599834927,0.279700278143884,-0.00268738249225048,80
-23,1973,0.131580407093997,0.266845280515341,-0.0118117852386626,80
-22,1972,0.117802780588626,0.254135320891975,-0.0246496806170204,80
-21,1971,0.104004806162383,0.249284899031068,-0.040180361853265,80
-20,1970,0.0903045518620623,0.237057349875592,-0.0530672489092092,80
-19,1969,0.0768200857344548,0.229042016015598,-0.0721451583548547,80
-18,1968,0.0636694758263533,0.221560996236586,-0.0841739120830143,80
-17,1967,0.0509707901845502,0.213592727278187,-0.0987150632728405,80
-16,1966,0.0388420968558378,0.210101366612859,-0.116609672185503,80
-15,1965,0.0274550230765561,0.197794877686919,-0.14009628849426,80
-14,1964,0.0176113548419586,0.194195626067741,-0.157226216125571,81
-13,1963,0.0093662781730299,0.195325544486166,-0.169574650111328,79
-12,1962,0.0024882083526453,0.189537339494751,-0.183310359014458,78
-11,1961,-0.00325443933631999,0.181383131114399,-0.194566572632248,78
-10,1960,-0.00809324961099078,0.177743796501823,-0.201761265776982,78
-9,1959,-0.0122598071884918,0.173876656735952,-0.203501885166781,78
-8,1958,-0.0159856967859479,0.166271507880215,-0.203992620330468,79
-7,1957,-0.0195010674016342,0.157630967746916,-0.202948757210695,78
-6,1956,-0.0214675019288558,0.152352366915273,-0.200304020794897,78
-5,1955,-0.020685404534738,0.157852897773582,-0.202958159521365,78
-4,1954,-0.0173253647800536,0.16020791646274,-0.200756852466179,78
-3,1953,-0.0115579722255751,0.164268297798088,-0.197083435922199,75
-2,1952,-0.00355381643207508,0.168118127649596,-0.18824088719329,75
-1,1951,0.00651651303967385,0.176005824835116,-0.178080454760478,75
0,1950,0.0184824266288991,0.187083674609419,-0.160198247200409,75
1,1949,0.0321733347748282,0.197566722447905,-0.143927186227964,75
2,1948,0.0457506928227224,0.209959682352571,-0.124708321473104,76
3,1947,0.0554506195041877,0.216923569656789,-0.105389699792474,76
4,1946,0.0618554321445474,0.224437094873707,-0.0895977877643921,76
5,1945,0.0657426525732133,0.2246447847581,-0.0757832008848359,76
6,1944,0.067889802619597,0.224135262791699,-0.0745715698255794,76
7,1943,0.0690744041131105,0.220562595045244,-0.0645681643218089,76
8,1942,0.0700739788831653,0.217285305069153,-0.0580713138988687,76
9,1941,0.0716660487591733,0.218287385838647,-0.0533710618444158,76
10,1940,0.074032877131635,0.215814541157907,-0.0510761132561106,76
11,1939,0.0735925520995308,0.213248057653329,-0.0514095121741432,75
12,1938,0.0695599633186076,0.210724603211184,-0.053380118613572,75
13,1937,0.0618751851878881,0.207270357606337,-0.0602491484282777,75
14,1936,0.0504782921063953,0.198282400225379,-0.070323564581056,76
15,1935,0.0353093584731519,0.181703122892888,-0.0884681327254413,76
16,1934,0.0163084586871807,0.164326757406594,-0.105915800103763,76
17,1933,-0.00658433285249546,0.141036452822988,-0.128605812867381,75
18,1932,-0.0332691895356114,0.11419653720121,-0.156335228342801,75
19,1931,-0.0579985256246422,0.0898505309860798,-0.182285244819395,75
20,1930,-0.0782909341417218,0.0700454894888588,-0.207968374391135,75
21,1929,-0.0947214781691907,0.0560599932824417,-0.227821574729523,75
22,1928,-0.107865220789389,0.0419414546369162,-0.242043485527754,74
23,1927,-0.118297225084657,0.0344637582646663,-0.257504643441849,73
24,1926,-0.126592554137336,0.0274623204251923,-0.269404475206107,73
25,1925,-0.133326271029765,0.0249684243012729,-0.282485271702354,73
26,1924,-0.139073438844285,0.0217174991943981,-0.296571469085133,74
27,1923,-0.143092927667974,0.0238114149020928,-0.30951865683472,74
28,1922,-0.143820515387449,0.0232314827735528,-0.311672258503479,74
29,1921,-0.141381290893369,0.0293393931327114,-0.321009140911215,73
30,1920,-0.135913788930179,0.0396111723915249,-0.316453658279746,73
31,1919,-0.127556544242322,0.0436879672324776,-0.31193881503609,74
32,1918,-0.116448091574242,0.0523368765819859,-0.307123557940909,74
33,1917,-0.102726965670384,0.0696724951591321,-0.287991799762731,73
34,1916,-0.0865317012751911,0.0853135511748107,-0.270639196391082,74
35,1915,-0.0684703627344481,0.101784459595734,-0.252911561466278,74
36,1914,-0.0505256136857629,0.120697548590453,-0.240710181237614,75
37,1913,-0.0331796443646593,0.136970027907715,-0.230114596660272,75
38,1912,-0.0167498053462088,0.151347436487026,-0.220578812203422,75
39,1911,-0.00155344720548291,0.167520817961209,-0.215626303290021,75
40,1910,0.0120920794824469,0.183941573678117,-0.201039662265054,76
41,1909,0.0238694241425089,0.202381488702087,-0.191017826347245,76
42,1908,0.0334612361996318,0.210763805034452,-0.182153917944777,76
43,1907,0.0407092831603455,0.216582364614555,-0.170524557071154,76
44,1906,0.0472657218833995,0.222104169322858,-0.160874811266097,76
45,1905,0.0534405643659251,0.227514064843758,-0.146710609452655,75
46,1904,0.0589675645179564,0.231819701873279,-0.13830464175812,76
47,1903,0.0635804762495274,0.235931580825611,-0.137467172692002,75
48,1902,0.0670130534706723,0.239038184512749,-0.129413905063313,76
49,1901,0.0689990500914252,0.241870742007756,-0.125918978851779,76
50,1900,0.0692722200218202,0.236137585972363,-0.116224772596525,76
51,1899,0.0675735932534317,0.242790241585467,-0.109486975831585,76
52,1898,0.0658184509602787,0.241792097242677,-0.103606773737991,75
53,1897,0.0658338749972392,0.252970659333683,-0.104817271194677,75
54,1896,0.067888125714456,0.262817654901926,-0.107097452071937,76
55,1895,0.0722494634620721,0.270232566847338,-0.103264037396387,76
56,1894,0.07918614859023,0.280609414856799,-0.108328374599541,77
57,1893,0.0889664414490728,0.29172560627974,-0.103623590952105,76
58,1892,0.101858602388743,0.314429793146812,-0.092186538218972,76
59,1891,0.118130891759384,0.340081292199188,-0.084134377827815,76
60,1890,0.135062748950914,0.363282919258896,-0.0736621931133995,76
61,1889,0.146348681429164,0.38577160235557,-0.0728367266859785,76
62,1888,0.152016756311487,0.399556159486023,-0.0765356971804536,74
63,1887,0.152329317090032,0.401001858760927,-0.0783523771258456,75
64,1886,0.14754870725695,0.398705192732297,-0.0835348666050498,75
65,1885,0.13793727030439,0.38844534316712,-0.0795122542052355,75
66,1884,0.123757349724503,0.367781082799911,-0.0874935512699982,75
67,1883,0.105271289009439,0.338430756470076,-0.0970814175376401,74
68,1882,0.0831499594435436,0.301683614131824,-0.112433606967657,74
69,1881,0.0601858504861008,0.277107691037035,-0.128337745013042,74
70,1880,0.0372516691904586,0.247924805437604,-0.140117161458891,74
71,1879,0.014820370285987,0.217143103401573,-0.150622568664064,74
72,1878,-0.00663509149794427,0.184007864657616,-0.169703635532652,74
73,1877,-0.0266417614319655,0.160637751420923,-0.186430116167205,73
74,1876,-0.0447266847867068,0.140354383142896,-0.202496622441836,72
75,1875,-0.0604169068327984,0.120700525416251,-0.213651035368323,72
76,1874,-0.0732567617594538,0.106250560654268,-0.225879091355578,73
77,1873,-0.0834206308600924,0.0952440173413174,-0.233418472305984,73
78,1872,-0.0912458655138914,0.0905896691627148,-0.241501342924909,73
79,1871,-0.096916085379974,0.0858069505924538,-0.245410576560308,73
80,1870,-0.100614910117463,0.0738678122054949,-0.24832429729857,73
81,1869,-0.102525959385482,0.0709187574083413,-0.249569467571002,73
82,1868,-0.102832852843154,0.0687002158768286,-0.256298935383347,73
83,1867,-0.101719210149602,0.0655550278169845,-0.24712615610968,74
84,1866,-0.0993686509639486,0.0711953728891943,-0.249743504366277,74
85,1865,-0.0972195440598015,0.0736272138954969,-0.243415539103407,73
86,1864,-0.0968225310181624,0.0743514945525135,-0.245606818563019,74
87,1863,-0.0980027789668482,0.0702797101646203,-0.250509249940504,75
88,1862,-0.100579641218376,0.06721311172869,-0.257514079591059,75
89,1861,-0.104372471085261,0.0616016965682605,-0.262310344419167,75
90,1860,-0.109200621880021,0.0600432127005665,-0.266839572871227,76
91,1859,-0.114883446915173,0.0581916008740722,-0.271251617480431,76
92,1858,-0.121240299503232,0.0536814527986677,-0.277522761947936,76
93,1857,-0.12763162809139,0.0459171529939069,-0.281327248620868,76
94,1856,-0.132501093810975,0.0440386602645573,-0.29031145493898,75
95,1855,-0.135908020749309,0.0406014643152981,-0.297063729743644,75
96,1854,-0.138044996139226,0.0352122387335509,-0.29807365354006,74
97,1853,-0.139104607213562,0.0262335228203219,-0.298578750315245,74
98,1852,-0.139279441205153,0.0232293741135595,-0.294034668535768,75
99,1851,-0.138762085346833,0.0208340041239196,-0.287906799062102,75
100,1850,-0.137745126871437,0.0167969673323175,-0.279864068840011,75
101,1849,-0.136330516801919,0.0144971764688766,-0.269032836800321,75
102,1848,-0.133711410352053,0.0144317215124839,-0.261189317733489,74
103,1847,-0.129672011054207,0.0119222006830665,-0.256350008511318,75
104,1846,-0.124237383252346,0.0204752607172718,-0.252313974509424,75
105,1845,-0.117432591290435,0.0251955920704832,-0.244328962152332,75
106,1844,-0.109282699512436,0.0322837746886608,-0.238861335644499,75
107,1843,-0.099812772262315,0.0396536080051499,-0.231229424833168,74
108,1842,-0.089047873884035,0.0525574940393478,-0.22712754739331,74
109,1841,-0.0770242323698036,0.060089336256087,-0.218747388643195,76
110,1840,-0.0652374756723743,0.0734357375937837,-0.211870752789859,76
111,1839,-0.0546890008851157,0.081165175965962,-0.205268317009921,76
112,1838,-0.0453264227788004,0.0923562012812018,-0.197862372604348,77
