"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
-75,2025,6.79464648876413,10.0527979771724,-5.57829840654462,0
-74,2024,6.10643673660287,8.95960489742952,-5.28082568610711,0
-73,2023,5.4182269844416,7.8664118176866,-4.98335296566959,0
-72,2022,4.73001723228034,6.77321873794367,-4.68539340432344,1
-71,2021,4.04180748011908,5.68011834164919,-4.38624278360097,1
-70,2020,3.35359772795781,4.59243692571547,-4.0870921628785,2
-69,2019,2.66538797579655,3.51720774415971,-3.72162837826984,2
-68,2018,1.97717822363528,2.41223054169439,-3.37290895752149,5
-67,2017,1.28896847147402,1.4150739670042,-3.109572726148,7
-66,2016,0.611544143234165,0.892278424805766,-2.7606174581395,8
-65,2015,0.0543683397983068,0.518187862334545,-2.46029166948146,9
-64,2014,-0.378926671795668,0.142635324217724,-2.07256153219901,11
-63,2013,-0.692971219143543,-0.0704179871131081,-2.02199777068666,11
-62,2012,-0.837076593908356,-0.137879751944859,-1.71607669311283,11
-61,2011,-0.93101606091083,-0.0259889752267296,-1.50900923983724,12
-60,2010,-0.929681848183736,-0.0262278941331342,-1.41311092629341,14
-59,2009,-1.0267127901815,-0.213864755508458,-1.48148832464452,15
-58,2008,-1.12272430942721,-0.403250811373243,-1.63773471624356,20
-57,2007,-1.1592834416942,-0.519478963685075,-1.77374250421046,18
-56,2006,-1.15673763151346,-0.550653897397586,-1.84895329739331,18
-55,2005,-1.06708632766921,-0.476737785304335,-1.82613668303951,19
-54,2004,-0.899931412096269,-0.361103622923074,-1.555638333289,22
-53,2003,-0.801561338287587,-0.299482150465832,-1.36329130590626,28
-52,2002,-0.721827649596857,-0.243699974071626,-1.2168552020547,30
-51,2001,-0.698287104652817,-0.240249936837319,-1.14131849390862,32
-50,2000,-0.799350890137437,-0.415481806422817,-1.19505050556392,34
-49,1999,-0.874615470869799,-0.506920370213454,-1.25799369380748,38
-48,1998,-0.866192284501147,-0.49476534430656,-1.27826030698542,44
-47,1997,-0.840860101038397,-0.465489509122966,-1.28231866847662,45
-46,1996,-0.779823422696792,-0.399618026960908,-1.2047534906082,50
-45,1995,-0.693709420790051,-0.299006911408387,-1.14574082118557,51
-44,1994,-0.660220714452149,-0.253492727960109,-1.11958653131033,50
-43,1993,-0.663779249855657,-0.264453286508225,-1.12766898400884,48
-42,1992,-0.666273180777861,-0.30364447086488,-1.0821715767758,48
-41,1991,-0.655426157846133,-0.315552617747223,-0.991573198229746,49
-40,1990,-0.590620567058226,-0.266166568683621,-0.878108723364713,49
-39,1989,-0.483828667703198,-0.191624995930073,-0.753211014378085,48
-38,1988,-0.380397602122731,-0.0958630086075112,-0.65674110596252,46
-37,1987,-0.306812458821828,-0.0139060356262667,-0.635228253764786,43
-36,1986,-0.320244279904486,-0.0234559352593902,-0.669527608933331,43
-35,1985,-0.388730626065954,-0.0969229072807565,-0.741313547441793,44
-34,1984,-0.458632063188313,-0.133466839987239,-0.836673022489234,46
-33,1983,-0.538241039389824,-0.167483300381514,-0.914771432932756,47
-32,1982,-0.560368802310245,-0.200276259606765,-0.90766036558302,48
-31,1981,-0.54144758423368,-0.179600750024358,-0.864805469948233,48
-30,1980,-0.515326785971825,-0.157348670868464,-0.840889208786949,47
