"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
-75,2025,1.28981217613945,2.82541602054919,-2.65316873868346,9
-74,2024,1.14361279276631,2.58946439936863,-2.55455570761952,11
-73,2023,0.997413409393175,2.36312856634261,-2.45870636073648,11
-72,2022,0.851214026020038,2.11969496668655,-2.39358549280698,11
-71,2021,0.705014642646902,1.92363005294424,-2.32777807092618,12
-70,2020,0.558815259273765,1.68691058567348,-2.24148723424427,14
-69,2019,0.412615875900628,1.43314478000604,-2.1406448628477,15
-68,2018,0.266416492527491,1.18718222213055,-2.05598594005356,20
-67,2017,0.120217109154354,0.980712333248785,-1.99727900917895,20
-66,2016,-0.0315610111961245,0.761491572150341,-1.9348486816734,21
-65,2015,-0.189628991941786,0.538060801539014,-1.85302225586177,22
-64,2014,-0.346685412743379,0.359014300474549,-1.77311018211144,26
-63,2013,-0.495428853261652,0.179858345646678,-1.69348939855645,32
-62,2012,-0.628557893157353,0.0387748702198651,-1.62957810695429,34
-61,2011,-0.73877111209123,-0.0671210336017544,-1.52727681900155,36
-60,2010,-0.818767089724034,-0.177652802288778,-1.46612183870842,39
-59,2009,-0.86124440571651,-0.266652524919862,-1.42619048491508,43
-58,2008,-0.86957663007066,-0.314222083911958,-1.39313258362086,48
-57,2007,-0.875312578599636,-0.368318712632014,-1.37455190603287,51
-56,2006,-0.880254248061469,-0.408985467009618,-1.35069964504377,56
-55,2005,-0.883398712218805,-0.438790204456057,-1.32131857336649,58
-54,2004,-0.883743044834294,-0.465640818989374,-1.29043513592563,58
-53,2003,-0.88028431967058,-0.488954841104551,-1.25736413380896,58
-52,2002,-0.872019610490314,-0.504391475467615,-1.23830757543209,58
-51,2001,-0.85794599105614,-0.511232547324575,-1.22078461355573,59
-50,2000,-0.837335635581474,-0.521713524764724,-1.19832134447824,60
-49,1999,-0.813603395392863,-0.52104240795375,-1.16394337691423,60
-48,1998,-0.788330175910957,-0.514157916982568,-1.13105109094943,61
-47,1997,-0.761872487401293,-0.495127005132744,-1.10032804879111,60
-46,1996,-0.734586840129411,-0.467071295039001,-1.0673236213844,59
-45,1995,-0.706829744360847,-0.44065100924207,-1.03126185330217,60
-44,1994,-0.678957710361141,-0.406187889426375,-0.997944491241304,60
-43,1993,-0.651327248395832,-0.37728623984306,-0.966537288763849,61
-42,1992,-0.624294868730457,-0.352813132266456,-0.931434953584131,61
-41,1991,-0.59900860324701,-0.328839717788733,-0.903228000432658,61
-40,1990,-0.576378762246022,-0.307434058907892,-0.871774157267414,62
-39,1989,-0.556235398433009,-0.284339501027238,-0.846667002238011,62
-38,1988,-0.538407655035291,-0.266677303420375,-0.821838060530095,63
-37,1987,-0.522724675280184,-0.251977579746485,-0.794592623716997,62
-36,1986,-0.509015602395005,-0.239774859374436,-0.776847744529718,63
-35,1985,-0.497109579607073,-0.22834255479045,-0.764036414055473,63
-34,1984,-0.486835750143704,-0.216263742731327,-0.744434192572174,64
-33,1983,-0.477972958917265,-0.20639388220243,-0.726735838694759,63
-32,1982,-0.470002606556864,-0.203582438918372,-0.719637472214666,63
-31,1981,-0.462383759368365,-0.191608636318425,-0.709040213985883,66
-30,1980,-0.45458514378234,-0.186393039899801,-0.699306638596967,67
-29,1979,-0.446075486229358,-0.179813071743521,-0.687013714588091,66
-28,1978,-0.436323513139993,-0.17375866679991,-0.682027287015384,72
-27,1977,-0.424797950944815,-0.167883836559781,-0.665657341613643,71
-26,1976,-0.410967526074396,-0.159049006533464,-0.647093008672617,71
-25,1975,-0.394446426532258,-0.14541670546841,-0.626065608702366,70
-24,1974,-0.377429856525825,-0.130134252253388,-0.60674802891042,70
-23,1973,-0.360817818604205,-0.116036848591968,-0.583053168120471,71
-22,1972,-0.344605668453666,-0.110871231212081,-0.559303404157359,71
-21,1971,-0.328788761760473,-0.10182015503468,-0.537313534628202,72
-20,1970,-0.313362454210893,-0.0932044528027535,-0.517085748028499,73
-19,1969,-0.298322101491191,-0.0843928100377293,-0.501562858309174,73
-18,1968,-0.283663059287635,-0.0771781261537057,-0.483694966096593,73
-17,1967,-0.269380683286489,-0.0693691376471709,-0.468557809675315,73
-16,1966,-0.256199913882025,-0.064155559342015,-0.460975796281818,73
-15,1965,-0.24492048945367,-0.0563369231916704,-0.446281047787147,73
-14,1964,-0.235344540209116,-0.0529758643517208,-0.432002015008258,73
-13,1963,-0.227270825765119,-0.0487680562394681,-0.41889646944866,73
-12,1962,-0.220498105738433,-0.0462634644585958,-0.407256670958145,73
-11,1961,-0.214825139745816,-0.0458502951796985,-0.399201819689867,73
-10,1960,-0.210050687404022,-0.0479190778652145,-0.386069688173921,73
-9,1959,-0.205973508329808,-0.0455089051166688,-0.37898806523404,73
-8,1958,-0.201809958905931,-0.050204445923045,-0.370624120452667,73
-7,1957,-0.195053087139845,-0.0513397334526777,-0.35942446016276,73
-6,1956,-0.185558159517992,-0.0420177457881014,-0.344407504468455,73
-5,1955,-0.173462401136441,-0.0288495548689689,-0.330257315438399,73
-4,1954,-0.158903037091256,-0.0156806214968419,-0.313297083221847,74
-3,1953,-0.142017292478504,-0.00142770987232318,-0.29974031899437,72
-2,1952,-0.122942392394251,0.0217661894419418,-0.282801146124283,72
-1,1951,-0.101815561934565,0.0416932854974672,-0.259238036203249,71
0,1950,-0.078903322301158,0.0620132306747739,-0.241366329298652,70
1,1949,-0.0571463963915715,0.0868201137117567,-0.218872721105805,70
2,1948,-0.0377029367533913,0.108079984094562,-0.200213599043383,70
3,1947,-0.0205526650351626,0.129779509603536,-0.181257850911672,68
4,1946,-0.00567530288543048,0.150693920577808,-0.16429010138662,68
5,1945,0.0069494280472597,0.164528976617811,-0.150110377754256,68
6,1944,0.0173418061143628,0.178958296831531,-0.13691485380059,70
7,1943,0.0255221096673336,0.189219676978006,-0.123708655147339,69
8,1942,0.0315106170576268,0.190593216207308,-0.116013615313176,69
9,1941,0.0369983879786658,0.198120891820049,-0.117639387624294,70
10,1940,0.044186993835679,0.205288548204776,-0.110286694564613,70
11,1939,0.0527869433178995,0.207570440333412,-0.100982028526932,70
12,1938,0.0624903845119752,0.211994146088722,-0.0922029730588297,73
13,1937,0.072989465504554,0.218651019311776,-0.0850683760841735,73
14,1936,0.0839763343822837,0.226356268458244,-0.0735492672845068,73
15,1935,0.0951431392318122,0.234820437937083,-0.0621131557600738,73
16,1934,0.106182028139787,0.24205398400738,-0.0518159133213417,74
17,1933,0.116991485004442,0.251671300082223,-0.0397040881356115,74
18,1932,0.128388305562608,0.264476820391541,-0.0284395818191999,74
19,1931,0.140550044584462,0.280012247259692,-0.0130853417554254,74
20,1930,0.153541318540383,0.294027120399227,0.00236653576455163,75
21,1929,0.167426743900747,0.305567208863668,0.0193413419286137,75
22,1928,0.182270937135929,0.320696036427,0.0352143958280417,74
23,1927,0.198138514716308,0.33995175672028,0.0472932298135686,74
24,1926,0.215094093112259,0.357208324491424,0.064890469459441,74
25,1925,0.233140307456813,0.375200436754311,0.0798790162998643,74
26,1924,0.250637752812709,0.395846447159001,0.0925040176636782,74
