"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
-75,2025,1.67454407842076,10.243877139269,-3.73480445685101,1
-74,2024,1.67454407842076,9.74711163338741,-3.50375120165275,1
-73,2023,1.67454407842076,9.21224951848742,-3.27269794645449,1
-72,2022,1.67454407842076,8.62247904612633,-3.04681808249639,1
-71,2021,1.67454407842076,8.01901024695587,-2.91366179427007,1
-70,2020,1.67454407842076,7.40119365273753,-2.67228745137879,1
-69,2019,1.67454407842076,6.78170085593197,-2.43258594898999,1
-68,2018,1.67454407842076,6.18710484335855,-2.28065475578702,0
-67,2017,1.38703958454448,5.58947013017981,-2.0306967711905,0
-66,2016,0.306908476825643,4.97195004735709,-2.14280672016922,0
-65,2015,-0.0849206279297151,4.40790248649497,-1.91119024844396,0
-64,2014,-0.0396920925349021,3.8090916829623,-1.44762129567064,1
-63,2013,-0.0121271812785034,3.27609893388413,-1.20553765970767,1
-62,2012,-0.109923607735921,2.7851719760166,-0.971529614555188,3
-61,2011,-0.125517093600026,2.34027830898176,-0.743748133835672,7
-60,2010,-0.016966174443553,3.19156426905554,-1.17905397257957,10
-59,2009,0.0523438035347081,4.1493013820176,-1.4925999422673,14
-58,2008,0.0556274679284318,1.8085107301694,-0.730014900855617,15
-57,2007,-0.0195233337532605,1.07466128279759,-1.32769235060134,19
-56,2006,-0.204395127454931,0.735378137033992,-1.35083829600213,21
-55,2005,-0.344474546953605,0.381051256339934,-1.39487776199481,23
-54,2004,-0.3783808196548,0.163184960795529,-1.15891720047789,28
-53,2003,-0.334576818096231,0.207617799953178,-0.90022768205783,29
-52,2002,-0.142281261027059,0.321843985491814,-0.583183797292241,29
-51,2001,0.0239440931894087,0.44699082998201,-0.372363844459043,30
-50,2000,0.15459542175426,0.592249327612507,-0.231785567552555,33
-49,1999,0.230023243999277,0.68173672290513,-0.181091154768994,36
-48,1998,0.173638152601384,0.603940886160711,-0.254840930709646,35
-47,1997,0.0516895671194385,0.488880792082266,-0.348209262966107,36
-46,1996,-0.0815903077972679,0.322297020148271,-0.444280108576949,36
-45,1995,-0.189128152026174,0.196655859894584,-0.515910193077075,36
-44,1994,-0.271671918787479,0.0917684422801535,-0.596441455912022,36
-43,1993,-0.328774292938511,0.0117565708668553,-0.681236507887447,33
-42,1992,-0.335267831673503,-0.00944050015135927,-0.716939826896364,34
-41,1991,-0.299836248988289,0.0302960763673817,-0.692314562751341,34
-40,1990,-0.253701163573514,0.119310167104117,-0.678538259897015,33
-39,1989,-0.205974927384026,0.222217150567501,-0.657715333055921,34
-38,1988,-0.186301565122109,0.261927422357174,-0.63339660587985,33
-37,1987,-0.191723635972006,0.248709500368336,-0.622207962922465,33
-36,1986,-0.23350393914078,0.205162499300186,-0.643762554463948,32
-35,1985,-0.28734912025086,0.13136005421197,-0.697801459281955,35
-34,1984,-0.332850741482414,0.0733752912078945,-0.738555661231219,36
-33,1983,-0.361761717963531,0.0371827452186833,-0.75157976257454,36
-32,1982,-0.350200153947869,0.0180243338685669,-0.734990494526223,37
-31,1981,-0.302444225750749,0.0626216029517321,-0.662064708035234,39
-30,1980,-0.274841742247849,0.0760870335130416,-0.615090175292645,39
-29,1979,-0.2625697203604,0.0756109188017921,-0.593317751246096,39
-28,1978,-0.249671894038592,0.063894903283113,-0.559877400760076,38
-27,1977,-0.270350992116888,0.0381651420203579,-0.595405160460669,37
-26,1976,-0.304062023506465,0.0200258534033039,-0.672506972750497,38
-25,1975,-0.29256484031007,0.0429900263596527,-0.677502710040688,40
-24,1974,-0.256932689510514,0.0885960456487521,-0.670717033362031,38
-23,1973,-0.209509844032933,0.122031231704368,-0.611524046907541,39
-22,1972,-0.146059327247538,0.175802939498215,-0.536311566249019,39
-21,1971,-0.0935327081128339,0.221612835129714,-0.465374929820273,39
-20,1970,-0.0720077382904012,0.244130741499009,-0.39797950003018,40
-19,1969,-0.0696429125387759,0.252053321472892,-0.371908952567907,41
-18,1968,-0.0725863535192215,0.276327160277272,-0.36571505564002,41
-17,1967,-0.0515293376772502,0.33947832517209,-0.3576694795111,43
-16,1966,-0.0183307339278916,0.40357674089132,-0.344381273836441,43
-15,1965,-0.00823529801371106,0.451476392746765,-0.356441739504093,43
-14,1964,-0.00433729239916263,0.450963032805608,-0.359127887108419,41
-13,1963,0.0228951086628,0.466134598291845,-0.377339510110558,42
-12,1962,0.0512150213698915,0.475540921640335,-0.337397416121334,43
-11,1961,0.0471001166408231,0.462076220255581,-0.309487533414965,45
-10,1960,0.0280997797246317,0.399283780163276,-0.261917177863972,44
-9,1959,0.0258135255348171,0.305870854317491,-0.22782303878684,42
-8,1958,0.0179362450147638,0.254703239617767,-0.229525405530429,42
-7,1957,-0.0243233181755889,0.194142385323166,-0.282629752462122,45
-6,1956,-0.0722676167262238,0.162208323491853,-0.332845417821466,44
-5,1955,-0.112301690099959,0.12733885103044,-0.364570696066514,46
-4,1954,-0.147251675074543,0.0980607942543158,-0.422029546271953,54
