"age_cal_yr_bp","year_ce","fit_zscore","ci_upper_zscore","ci_lower_zscore","n_records"
-75,2025,1.67454407842076,1.67454407842076,-3.27812701606435,1
-74,2024,1.67454407842076,1.67454407842076,-3.13529708748136,2
-73,2023,1.65255835846535,1.66158912997856,-2.99246715889836,2
-72,2022,1.59191798558859,1.62543629376522,-2.85480941885971,4
-71,2021,1.50059814027469,1.57032058134972,-2.72125095841682,8
-70,2020,1.38657400300787,1.50033179543015,-2.58753979375001,11
-69,2019,1.25782075427234,1.41977386532831,-2.45364572609524,15
-68,2018,1.12231357455232,1.33286829700876,-2.31975165844047,16
-67,2017,0.988027644332027,1.24526717450786,-2.18585759078571,20
-66,2016,0.862938144095672,1.1675837037094,-2.05725713628267,22
-65,2015,0.74786721471879,1.08584486881114,-1.94034026222669,24
-64,2014,0.598148919312953,0.971429647982747,-1.800335287706,29
-63,2013,0.418524839644197,0.840814423194092,-1.66881543629505,30
-62,2012,0.22603922137702,0.711274962923444,-1.54705753774056,30
-61,2011,0.037736310175923,0.580021042805532,-1.4191877478343,31
-60,2010,-0.129339648294593,0.470046033363243,-1.34753999797116,34
-59,2009,-0.258144408370029,0.392522353403518,-1.26813529625235,36
-58,2008,-0.331633724385883,0.347889373858466,-1.25228471658862,36
-57,2007,-0.332763350677656,0.342139429720188,-1.1565197623596,36
-56,2006,-0.281598323851223,0.330992864989848,-0.989588373075845,37
-55,2005,-0.231288022545434,0.337944489479757,-0.841935777791547,37
-54,2004,-0.184477147786631,0.335623537497696,-0.718276560915967,38
-53,2003,-0.143102498112535,0.322809046572226,-0.612165391164547,38
-52,2002,-0.109100872060867,0.314376610173441,-0.549193520313609,38
-51,2001,-0.0844090681693489,0.323009626972411,-0.479037063484653,38
-50,2000,-0.0709638849757015,0.302360073713203,-0.457236631406891,38
-49,1999,-0.0707021210176458,0.290830717409808,-0.430481460888798,38
-48,1998,-0.0846801289498367,0.270060780959124,-0.424032592094262,39
-47,1997,-0.101485866337057,0.251846953966777,-0.431211625289446,39
-46,1996,-0.117321655181627,0.225002239600495,-0.444678218933317,39
-45,1995,-0.132525205712682,0.202897016673614,-0.465291812041453,40
-44,1994,-0.147434228159357,0.192822403458322,-0.477014772299267,40
-43,1993,-0.162386432750787,0.179148467690991,-0.495069601270647,40
-42,1992,-0.177719529716108,0.158241081481432,-0.511398345022722,40
-41,1991,-0.193771229284454,0.138252372285653,-0.532712295487381,42
-40,1990,-0.21087924168496,0.124337970627514,-0.553284712597,42
-39,1989,-0.2278903377298,0.116736279721978,-0.577843097399002,42
-38,1988,-0.241500723016357,0.107038183239173,-0.599566871235215,42
-37,1987,-0.251888291197524,0.0937608799745158,-0.606744105406396,42
-36,1986,-0.259396657370448,0.0868171597631607,-0.612729829577406,43
-35,1985,-0.264369436632281,0.0764124259063379,-0.616429116858089,45
-34,1984,-0.267150244080172,0.0678453847138108,-0.618618919826896,45
-33,1983,-0.268082694811273,0.0658397948798573,-0.615782256382866,45
-32,1982,-0.267510403922731,0.0616156581144899,-0.603899461902251,45
-31,1981,-0.26574767305784,0.0584065705591486,-0.596378558972435,45
-30,1980,-0.261991864655002,0.0619222490258176,-0.595173411211656,46
-29,1979,-0.255815017070399,0.0600245990930713,-0.578264789915806,46
-28,1978,-0.247312271593104,0.0607193102877469,-0.563986016882,46
-27,1977,-0.236578769512185,0.0662757790766784,-0.547181812290535,48
-26,1976,-0.223709652116715,0.0707376412674253,-0.527936148104907,48
-25,1975,-0.208800060695762,0.0861466119774829,-0.506477018713128,49
-24,1974,-0.191945136538398,0.108573463714484,-0.483305319637023,49
-23,1973,-0.173240020933692,0.125456607016068,-0.457975946011044,50
-22,1972,-0.153214534401772,0.148394937535785,-0.442556264949637,51
-21,1971,-0.133685080491731,0.168805333217415,-0.422690189665714,51
-20,1970,-0.115096040233095,0.195825418751476,-0.403607477977133,51
-19,1969,-0.0977399362574228,0.221895686384636,-0.388625758907488,52
-18,1968,-0.0819092911962739,0.247500048692137,-0.372035706696797,52
-17,1967,-0.0678966276812079,0.263497932836022,-0.357370641532185,52
-16,1966,-0.0559944683437842,0.27620157676659,-0.342358406844334,52
-15,1965,-0.0464953358155623,0.282471613636211,-0.324204748116996,53
-14,1964,-0.0396901894891515,0.275417350611487,-0.303659964799308,61
-13,1963,-0.03532920184636,0.262111377213178,-0.294601941138365,62
-12,1962,-0.0329210184680663,0.254650641581718,-0.280635608859599,62
-11,1961,-0.0322518463728133,0.24350152902503,-0.271116839617382,62
-10,1960,-0.0331078925791436,0.224668378512371,-0.266105579349308,64
-9,1959,-0.0352753641055997,0.209647602125698,-0.263080853060687,64
-8,1958,-0.0385404679707245,0.187084836772811,-0.261035445311384,65
-7,1957,-0.0426894111930606,0.16271423708113,-0.251660461943901,65
-6,1956,-0.0475084007911505,0.144707100328282,-0.253145369544174,66
-5,1955,-0.0527126101424608,0.125837255117616,-0.25674370526593,65
-4,1954,-0.0576538798012169,0.121127412153113,-0.256808886442682,65
-3,1953,-0.0620265180103552,0.11425856615282,-0.253179232171503,65
-2,1952,-0.065594959474126,0.101264069681175,-0.251956604009344,65
-1,1951,-0.0681236388967796,0.103560146300426,-0.257719522252746,65
0,1950,-0.0693769909825665,0.0987019605188775,-0.255537907740731,65
1,1949,-0.069119450435737,0.103021567381259,-0.249419139787137,64
2,1948,-0.0671154519605416,0.0974105018348136,-0.26820418493005,64
3,1947,-0.0631294302612305,0.0968725256581533,-0.261508778680957,65
4,1946,-0.0579797909696186,0.101823030057097,-0.257602701882458,65
5,1945,-0.0530311301411188,0.112736445514562,-0.262916995462955,65
6,1944,-0.0484685776623569,0.122825647459689,-0.256018110551592,65
7,1943,-0.0444728501215763,0.128320184704294,-0.2574008948601,65
8,1942,-0.0412246641070206,0.136992472764572,-0.259061371225898,65
9,1941,-0.0389047362069335,0.14675077998113,-0.260376064523074,65
10,1940,-0.0376937830095584,0.150444906895038,-0.25849968686355,65
11,1939,-0.0377725211031391,0.151592334428102,-0.262196534970105,67
12,1938,-0.0391079938804337,0.153951953165062,-0.265035283626351,66
13,1937,-0.0396165108152652,0.160834795465389,-0.267471243469031,66
14,1936,-0.0387882052560381,0.167699784914497,-0.264930957941668,67
15,1935,-0.0366999890865006,0.171826146686184,-0.261399045501068,67
16,1934,-0.0334287741904011,0.174432535686852,-0.256263758396151,67
17,1933,-0.029051472451488,0.187226757256838,-0.249300362477303,65
18,1932,-0.0236449957535095,0.190927347399442,-0.239979211933543,65
19,1931,-0.0172862559802139,0.198557543453692,-0.233339779326174,66
20,1930,-0.0100521650153497,0.206142371999879,-0.225496102491676,67
21,1929,-0.00240512292827032,0.207582727824285,-0.216053909794,67
22,1928,0.00489849030163404,0.213243672670948,-0.213936933959358,68
23,1927,0.0119108186356828,0.21458974544395,-0.203633607599099,68
24,1926,0.018705416631128,0.224345202720007,-0.194871403221668,68
25,1925,0.0253558388452216,0.236311066182995,-0.184343952192885,69
26,1924,0.0319356398352155,0.245329330876426,-0.179335583411547,70
27,1923,0.0385183741583619,0.256627822000579,-0.170405757850143,70
28,1922,0.0451775963719125,0.26785040946873,-0.169298176614019,70
29,1921,0.0519704028746407,0.283421921082675,-0.167655703530788,70
30,1920,0.0585825454165799,0.293405058466864,-0.154972635229998,70
31,1919,0.0648499379726937,0.302327613872924,-0.157171857788677,70
32,1918,0.0707473575488095,0.31104864558906,-0.162556909114688,71
33,1917,0.0762495811507543,0.322597946282437,-0.162669262996773,72
34,1916,0.0813313857843556,0.332395543669824,-0.164696643179588,71
35,1915,0.0859675484554406,0.342492416355262,-0.166609309264397,71
36,1914,0.0901328461698366,0.350621651884365,-0.170409998841521,71
37,1913,0.0938020559333707,0.367335648329314,-0.169522677693295,71
38,1912,0.0967187312591464,0.377935832860523,-0.172463647588382,71
39,1911,0.0980604297373337,0.381093468372465,-0.176514173147337,72
40,1910,0.0975514112173273,0.383860593404234,-0.182621323368921,72
41,1909,0.0949603545350305,0.384036170008705,-0.180925994236171,72
42,1908,0.0900559385263469,0.373223360390545,-0.180448328722938,70
43,1907,0.0826068420271799,0.367079916020656,-0.190971665400693,70
44,1906,0.0723817438734329,0.355079975244207,-0.197518408485607,70
45,1905,0.0591493229010093,0.337702086392428,-0.205782070373464,71
46,1904,0.0427226760309201,0.317049077983043,-0.211359081858121,70
47,1903,0.0263906558265575,0.295201075438209,-0.225246683479891,70
48,1902,0.0123282252552436,0.273217592418487,-0.236336422405698,72
49,1901,0.000567473353134835,0.25865486879296,-0.248334730399975,74
50,1900,-0.00885951084361214,0.24445002873751,-0.248792836985645,73
51,1899,-0.0159206382988408,0.23925852604032,-0.256822440250929,72
52,1898,-0.0205838199763944,0.234636540439328,-0.26456229645507,73
53,1897,-0.0228169668401165,0.22586757594352,-0.265419029075891,73
54,1896,-0.0225879898538505,0.225530652220855,-0.264077764868324,73
55,1895,-0.02017150552758,0.22653583981674,-0.261368617548319,73
56,1894,-0.0169229656059525,0.223436643555583,-0.259350014130267,74
57,1893,-0.0128556895185841,0.230759418570247,-0.253423889843275,74
58,1892,-0.00779284119081077,0.237732911035766,-0.248889585591007,74
59,1891,-0.00155758454796846,0.244772378530815,-0.243283466832743,73
60,1890,0.00602691648460689,0.254969627312825,-0.23646173857142,73
61,1889,0.0151374979815794,0.264841337332214,-0.229075891525217,73
62,1888,0.0259509960176131,0.272631127102898,-0.22095380951338,74
63,1887,0.038644246667372,0.287775548308459,-0.211766135090597,73
64,1886,0.0512871455308284,0.309528330022615,-0.199001077561034,73
65,1885,0.0620269648726907,0.332528409129083,-0.18509970588409,73
66,1884,0.0711566057647273,0.34617082739746,-0.175515972558386,71
67,1883,0.0789689692787063,0.354344749394699,-0.163014956429049,71
68,1882,0.0857569564863962,0.362982257082055,-0.15408984256184,71
69,1881,0.0918134684595651,0.367983467444874,-0.146243880357045,71
70,1880,0.0974314062699814,0.372036595189875,-0.142430954975697,70
71,1879,0.102903670989413,0.377325877025675,-0.140514009055969,70
72,1878,0.108599250037112,0.3833079430842,-0.129515120423022,70
73,1877,0.115176760785243,0.391308073289521,-0.131378659404753,70
74,1876,0.122429293910355,0.392669643792144,-0.12991257036112,71
75,1875,0.129989338273063,0.400293419603967,-0.127607983778386,71
76,1874,0.137489382733981,0.401004274043334,-0.120371107608912,70
77,1873,0.144561916153723,0.409749995293075,-0.113537461203907,70
78,1872,0.150839427392905,0.416047524801434,-0.11298296986243,71
79,1871,0.15595440531214,0.420590956432165,-0.115317195975508,71
80,1870,0.159539338772043,0.427468013522168,-0.115190667577113,70
81,1869,0.162286110878008,0.434499226455542,-0.108791667349831,70
82,1868,0.165595720444699,0.435628572573502,-0.102498192169875,70
83,1867,0.169262075502273,0.444770194265749,-0.100051865949342,68
84,1866,0.173057828800302,0.440996362388217,-0.0978114874963397,67
85,1865,0.176755633088362,0.446854753945164,-0.0916817327962332,68
86,1864,0.180128141116026,0.445381053499937,-0.0882947700044318,69
87,1863,0.182948005632868,0.439283896863088,-0.0761811800792923,70
88,1862,0.184987879388461,0.431035836197494,-0.0647960937898871,71
89,1861,0.186009807129091,0.424940011020016,-0.0550327986570981,71
90,1860,0.185738709275617,0.414327050092832,-0.0532119238136124,71
91,1859,0.184241043024953,0.407293674877184,-0.050747324373377,71
92,1858,0.181664122662709,0.388302895725957,-0.0478448984060817,71
93,1857,0.178155262474493,0.386334453503737,-0.0420634812872912,70
94,1856,0.173861776745916,0.378500540872436,-0.0391958578181567,70
95,1855,0.168930979762587,0.370781277641125,-0.0421276593329469,70
96,1854,0.163510185810115,0.357518098517036,-0.0492656808799469,70
97,1853,0.157746709174109,0.348813186264452,-0.0491906400281662,69
98,1852,0.151219682582363,0.339412654151161,-0.0588286947221221,69
99,1851,0.142822610555494,0.335260007279699,-0.0675749211703958,70
100,1850,0.132901562958333,0.333263549580274,-0.078367442177149,70
101,1849,0.121868497643737,0.319384646518825,-0.0891332964836497,71
102,1848,0.110135372464564,0.310697868937237,-0.101203688176424,71
103,1847,0.0981141452736733,0.298852016609004,-0.114853382170346,71
104,1846,0.0862167739239211,0.286258722132767,-0.119383578186863,72
105,1845,0.0748552162681659,0.28109022505913,-0.127456383860047,72
106,1844,0.0644681734497742,0.277735666929936,-0.137340241651759,72
107,1843,0.0563229866506735,0.278334983773665,-0.145767124427877,72
108,1842,0.0508146744852695,0.276356957279691,-0.151067316886216,72
109,1841,0.0477718981831737,0.279125471845726,-0.154699886127341,71
110,1840,0.0470233189739976,0.286864387889168,-0.155577761034035,70
111,1839,0.0483975980873529,0.296766847733921,-0.158315353809167,70
112,1838,0.0517233967528509,0.299188888313381,-0.15841439092669,70
113,1837,0.0568293762001033,0.305942514626163,-0.158309031179776,70
114,1836,0.0635441976587215,0.314460177057727,-0.152047906775662,70
115,1835,0.0710834594927929,0.318981513384239,-0.14792464761037,70
116,1834,0.0770459404368506,0.323692253873939,-0.145902737782594,69
117,1833,0.0812065381701882,0.330242336249031,-0.14196047396294,67
118,1832,0.0835648595416385,0.345935676043431,-0.142546873616638,66
119,1831,0.0841205114000344,0.346755190929955,-0.146973051837811,65
120,1830,0.0828731005942088,0.342985239804648,-0.146397381209553,65
121,1829,0.0798222339729945,0.342584704873028,-0.153177520101363,66
122,1828,0.0749675183852244,0.340076332178339,-0.161962244234707,66
123,1827,0.0683122507685195,0.332778783493644,-0.169835484801638,67
124,1826,0.0609553575342502,0.33213519373666,-0.176415191007686,67
125,1825,0.0539261062204759,0.329942084886372,-0.187418261690235,68
126,1824,0.0474577147618268,0.329874427518349,-0.197631198794172,69
127,1823,0.0417834010929331,0.329409625449124,-0.205114325982209,69
128,1822,0.0371363831484251,0.326241883652158,-0.216131454106162,69
129,1821,0.0337498788629328,0.321327994961033,-0.221194327175183,69
130,1820,0.0318571061710866,0.319838633717238,-0.227825257898048,69
131,1819,0.0316912830075166,0.317610212616372,-0.231749541413503,70
132,1818,0.0333388408368183,0.319691681558894,-0.229682295814598,69
133,1817,0.0358390156869298,0.314937379325857,-0.230045815096475,69
134,1816,0.0384776778014325,0.310129908638888,-0.226853330185964,69
135,1815,0.0406526768843336,0.316541009001411,-0.226003147484196,69
136,1814,0.0417618626396402,0.314869363798799,-0.22459060241299,70
137,1813,0.0412030847713593,0.318676109616959,-0.222034325458672,69
138,1812,0.038374192983498,0.309865163333552,-0.218757632010301,70
139,1811,0.0326730369800635,0.301580986833953,-0.225371494595627,71
140,1810,0.0234974664650628,0.290260368617632,-0.236032840426881,71
141,1809,0.0114580067598774,0.273630362523899,-0.249551538217177,69
142,1808,-0.00206111414778452,0.25618158463168,-0.264301538871517,70
143,1807,-0.0169459681253443,0.238763754957459,-0.280677179403703,71
144,1806,-0.0330875537202142,0.215136820514607,-0.297833562014599,70
145,1805,-0.0503768694798062,0.193759483214337,-0.315674918187234,70
146,1804,-0.0687049139515327,0.177782349359493,-0.334874168813084,70
147,1803,-0.0879626856828056,0.157828889422446,-0.357432186917373,71
148,1802,-0.108041183221037,0.145009687019955,-0.365851033428908,71
149,1801,-0.128408158970075,0.127396381603119,-0.383880008716795,70
150,1800,-0.14454760672377,0.111968374042255,-0.395563562261488,70
151,1799,-0.155215091069644,0.112469612429474,-0.400243654260143,71
152,1798,-0.160344663236274,0.109509811422524,-0.39847978441758,70
153,1797,-0.159870374452237,0.110536051724432,-0.397405301288591,70
154,1796,-0.153726275946111,0.12167710264895,-0.391314832562911,68
155,1795,-0.141846418946471,0.134404196545839,-0.376152840617624,69
156,1794,-0.124164854681896,0.15299333764453,-0.359777213754256,69
157,1793,-0.100615634380961,0.181859986671894,-0.339016090312622,67
158,1792,-0.0733641918402695,0.204442253527589,-0.319965670095444,67
159,1791,-0.0469758584072836,0.225861949306756,-0.295474090272463,69
160,1790,-0.021905382011447,0.2518692076485,-0.274171003932232,72
161,1789,0.00150895188214937,0.275011166261057,-0.254556772777029,72
162,1788,0.0229288578084149,0.297994138568106,-0.235014472811237,71
163,1787,0.0420160503022588,0.308572469846085,-0.215345449075568,71
164,1786,0.0584322438985903,0.321344919477441,-0.19270280658464,72
165,1785,0.0718391531323185,0.33072837522918,-0.172007934639993,72
166,1784,0.0818571027020243,0.326581834314878,-0.159020325578289,71
167,1783,0.0874903134517355,0.332061479032566,-0.146617191410739,71
168,1782,0.0889087192144522,0.31787312817258,-0.135378135788923,71
