ID,file_name,impd_filename,in_file,contr_year,data_source,site_name,site_code,contributor,Longitude,Latitude,first_year,last_year,first_scar,last_scar,n_trees,tree_species,area_sampled_ha,ref_ID
Airey_LVNP,,,FALSE,2020,NAFSS,Lassen Volcanic National Park Chaparral,LVNP,AireyLauvaux_C,-121.42546,40.501509,1525,1920,1625,1918,30,"PIJE, PILA",663,AireyLauvaux_2016_FEM
Allen_ABH1,ABH1.fhx,,TRUE,2020,NAFSS,Alamo bog high group 1,ABH1,Allen_CD,-106.5926628,35.90174757,1688,1970,1748,1879,4,PIPO,1,"Allen_2008_IJWF, Morino_1998_Report"
Allen_ABH2,ABH2.fhx,,TRUE,2020,NAFSS,Alamo bog high group 2,ABH2,Allen_CD,-106.5781915,35.90800128,1567,2002,1716,1879,2,"PSME, PISF",1,"Allen_2008_IJWF, Morino_1998_Report"
Allen_ABH3,ABH3.fhx,,TRUE,2020,NAFSS,Alamo bog high group 3,ABH3,Allen_CD,-106.5701975,35.9112268,1689,1995,1716,1851,3,PSME,1,"Allen_2008_IJWF, Morino_1998_Report"
Allen_ABL,ABL.fhx,,TRUE,2020,NAFSS,Alamo bog lower,ABL,Allen_CD,-106.5775635,35.9138558,1753,2002,1789,1879,3,"PIPO, PSME",0.5,"Allen_2008_IJWF, Morino_1998_Report"
Allen_ALA1,ALA1.fhx,,TRUE,2020,NAFSS,Alamo bog group 1,ALA1,Allen_CD,-106.5893188,35.91274213,1463,1996,1503,1879,9,PIPO,1,"Allen_2008_IJWF, Morino_1998_Report"
Allen_ALA2,ALA2.fhx,,TRUE,2020,NAFSS,Alamo bog group 2,ALA2,Allen_CD,-106.5845427,35.91180761,1565,1996,1624,1879,5,"PIPO, PISF",0.5,"Allen_2008_IJWF, Morino_1998_Report"
Allen_ALA3,ALA3.fhx,,TRUE,2020,NAFSS,Alamo bog group 3,ALA3,Allen_CD,-106.5841502,35.90857459,1665,2002,1716,1879,5,PSME,1,"Allen_2008_IJWF, Morino_1998_Report"
Allen_ALA4,ALA4.fhx,,TRUE,2020,NAFSS,Alamo bog group 4,ALA4,Allen_CD,-106.5876556,35.90839035,1480,1943,1516,1896,8,"PIPO, PISF",0.5,"Allen_2008_IJWF, Morino_1998_Report"
Allen_AM1,AM1.FHX,usba3001.fhx,TRUE,2019,NAFSS,Apache Mesa East,AM1,Allen_CD,-106.3695826,35.82064469,1615,1973,1684,1899,3,PIPO,0.5,Allen_1989_Diss
