year_ce,Boreal-NA-East,Boreal-NA-West,Temperate-NA-East,Temperate-NA-West,Total-NA
1750,0.009581555,0.041181171,0.010307697,0.009046768,0.070117192
1751,0.009680731,0.040972253,0.010354399,0.008999735,0.070007117
1752,0.009779907,0.040763334,0.010401101,0.008952701,0.069897042
1753,0.009879082,0.040554415,0.010447802,0.008905668,0.069786968
1754,0.009978258,0.040345497,0.010494504,0.008858634,0.069676893
1755,0.010077434,0.040136578,0.010541206,0.008811601,0.069566818
1756,0.010176609,0.039927659,0.010587907,0.008764567,0.069456743
1757,0.010275785,0.039718741,0.010634609,0.008717534,0.069346669
1758,0.010374961,0.039509822,0.010681311,0.0086705,0.069236594
1759,0.010474137,0.039300903,0.010728013,0.008623467,0.069126519
1760,0.010573312,0.039091985,0.010774714,0.008576433,0.069016444
1761,0.010694487,0.038914487,0.010791287,0.008532541,0.068932801
1762,0.010815662,0.038736988,0.010807859,0.008488649,0.068849158
1763,0.010936837,0.03855949,0.010824431,0.008444757,0.068765516
1764,0.011058012,0.038381992,0.010841003,0.008400865,0.068681872
1765,0.011179187,0.038204494,0.010857576,0.008356973,0.06859823
1766,0.011300362,0.038026996,0.010874148,0.008313081,0.068514587
1767,0.011421537,0.037849498,0.01089072,0.008269189,0.068430944
1768,0.011542712,0.037672,0.010907293,0.008225297,0.068347301
1769,0.011663887,0.037494502,0.010923865,0.008181405,0.068263658
1770,0.011785062,0.037317003,0.010940437,0.008137512,0.068180015
1771,0.011868989,0.037163897,0.01094472,0.00809162,0.068069227
1772,0.011952917,0.037010791,0.010949002,0.008045728,0.067958439
1773,0.012036845,0.036857685,0.010953285,0.007999836,0.067847651
1774,0.012120773,0.036704579,0.010957568,0.007953943,0.067736863
1775,0.012204701,0.036551472,0.01096185,0.007908051,0.067626075
1776,0.012288629,0.036398366,0.010966133,0.007862159,0.067515287
1777,0.012372557,0.03624526,0.010970415,0.007816266,0.067404499
1778,0.012456485,0.036092154,0.010974698,0.007770374,0.067293711
1779,0.012540413,0.035939048,0.010978981,0.007724482,0.067182923
1780,0.012624341,0.035785941,0.010983263,0.007678589,0.067072135
1781,0.012720217,0.035903162,0.010887971,0.007687666,0.067199017
1782,0.012816093,0.036020383,0.01079268,0.007696743,0.067325899
1783,0.01291197,0.036137604,0.010697388,0.007705819,0.067452781
1784,0.013007846,0.036254825,0.010602096,0.007714896,0.067579663
1785,0.013103723,0.036372045,0.010506804,0.007723972,0.067706545
1786,0.013199599,0.036489266,0.010411513,0.007733049,0.067833427
1787,0.013295476,0.036606487,0.010316221,0.007742126,0.067960309
1788,0.013391352,0.036723708,0.010220929,0.007751202,0.068087191
1789,0.013487228,0.036840929,0.010125637,0.007760279,0.068214073
1790,0.013583105,0.036958149,0.010030346,0.007769355,0.068340955
1791,0.013592022,0.037263131,0.010035185,0.00783868,0.068729018
1792,0.013600939,0.037568112,0.010040024,0.007908004,0.06911708
1793,0.013609856,0.037873094,0.010044864,0.007977329,0.069505142
1794,0.013618773,0.038178076,0.010049703,0.008046653,0.069893205
1795,0.01362769,0.038483057,0.010054542,0.008115978,0.070281267
1796,0.013636607,0.038788039,0.010059381,0.008185302,0.07066933
1797,0.013645525,0.03909302,0.010064221,0.008254627,0.071057392
1798,0.013654442,0.039398002,0.01006906,0.008323951,0.071445455
1799,0.013663359,0.039702983,0.010073899,0.008393276,0.071833517
1800,0.013672276,0.040007965,0.010078739,0.0084626,0.072221579
1801,0.013558767,0.040396769,0.010255246,0.008548833,0.072759616
1802,0.013445258,0.040785573,0.010431754,0.008635066,0.073297652
1803,0.013331749,0.041174378,0.010608262,0.008721299,0.073835688
1804,0.01321824,0.041563182,0.01078477,0.008807532,0.074373724
1805,0.013104731,0.041951987,0.010961278,0.008893765,0.07491176
1806,0.012991222,0.042340791,0.011137785,0.008979998,0.075449796
1807,0.012877713,0.042729595,0.011314293,0.009066231,0.075987832
1808,0.012764203,0.0431184,0.011490801,0.009152464,0.076525868
1809,0.012650694,0.043507204,0.011667309,0.009238697,0.077063905
1810,0.012537185,0.043896008,0.011843817,0.00932493,0.077601941
1811,0.012427513,0.044359908,0.012110105,0.009425063,0.078322589
1812,0.01231784,0.044823808,0.012376394,0.009525196,0.079043238
1813,0.012208167,0.045287708,0.012642683,0.009625328,0.079763886
1814,0.012098494,0.045751608,0.012908972,0.009725461,0.080484535
1815,0.011988821,0.046215508,0.01317526,0.009825594,0.081205184
1816,0.011879148,0.046679408,0.013441549,0.009925726,0.081925832
1817,0.011769475,0.047143308,0.013707838,0.010025859,0.082646481
1818,0.011659803,0.047607208,0.013974127,0.010125992,0.083367129
1819,0.01155013,0.048071108,0.014240416,0.010226124,0.084087778
