year_ce,Boreal-NA-East,Boreal-NA-West,Temperate-NA-East,Temperate-NA-West,Total-NA
1750,0.016957703,0.0673259,0.015084492,0.020323899,0.119691995
1751,0.017129107,0.06586867,0.015215464,0.020065123,0.118278364
1752,0.017184221,0.065673937,0.015184263,0.019554625,0.117597045
1753,0.017272462,0.062435389,0.015229811,0.018948555,0.113886217
1754,0.01742226,0.058674847,0.015272887,0.018730059,0.110100053
1755,0.017763001,0.059651046,0.015405865,0.018579339,0.111399251
1756,0.01785581,0.057289801,0.015443903,0.01819973,0.108789244
1757,0.018199625,0.058921194,0.015507226,0.017881426,0.110509471
1758,0.018303382,0.058780348,0.015622671,0.01792204,0.110628441
1759,0.019972094,0.061385778,0.016282977,0.018089089,0.115729939
1760,0.020093395,0.059300951,0.016292661,0.018021361,0.113708367
1761,0.020495282,0.060155506,0.016411959,0.018070655,0.115133402
1762,0.02051171,0.058320676,0.016305027,0.017886508,0.113023921
1763,0.02055663,0.056731166,0.016210358,0.017732107,0.111230261
1764,0.020171042,0.059774329,0.015969262,0.017398168,0.113312801
1765,0.021044722,0.055679901,0.016209211,0.017262316,0.11019615
1766,0.022334365,0.059846789,0.016492354,0.017071614,0.115745122
1767,0.022239375,0.057139927,0.016374762,0.016843648,0.112597712
1768,0.022255459,0.055195491,0.016290401,0.016622315,0.110363666
1769,0.0228488,0.056665932,0.016338694,0.01648714,0.112340566
1770,0.022931806,0.056934833,0.016231767,0.016296618,0.112395025
1771,0.022961279,0.058134156,0.016220848,0.01626959,0.113585872
1772,0.023571775,0.059214623,0.016453907,0.016411084,0.115651389
1773,0.023763436,0.059785503,0.016456436,0.016337492,0.116342868
1774,0.023565983,0.054271134,0.016296494,0.016169114,0.110302725
1775,0.024427967,0.060033588,0.016317725,0.016254973,0.117034252
1776,0.023878311,0.061985505,0.016041925,0.015853866,0.117759607
1777,0.023959062,0.063102769,0.015972377,0.015734722,0.118768931
1778,0.024595515,0.063644058,0.016048255,0.015839341,0.120127169
1779,0.025108489,0.067212534,0.015918237,0.015796514,0.124035773
1780,0.026912373,0.061531006,0.016331273,0.016017294,0.120791945
1781,0.027344934,0.062822453,0.016178419,0.016340292,0.122686099
1782,0.027620217,0.062097368,0.015998826,0.016604954,0.122321365
1783,0.027566052,0.063958006,0.015696666,0.017012051,0.124232775
1784,0.027658084,0.067671565,0.015463456,0.017258919,0.128052022
1785,0.027775208,0.064753573,0.015241899,0.017462867,0.125233547
1786,0.028429609,0.0666963,0.01515561,0.017886343,0.128167862
1787,0.028604988,0.066670545,0.014943645,0.018241334,0.128460513
1788,0.028399377,0.064658729,0.01456452,0.018173541,0.125796167
1789,0.027922583,0.063302129,0.014157122,0.018204657,0.123586492
1790,0.02745224,0.066965015,0.013822859,0.018204149,0.126444263
1791,0.027558109,0.072037983,0.013899279,0.018528321,0.132023692
1792,0.027377043,0.073870823,0.013858914,0.018875195,0.133981975
1793,0.02790508,0.076229551,0.014015715,0.01908317,0.137233516
1794,0.027885153,0.073074904,0.014001641,0.018957187,0.133918884
1795,0.027551001,0.077379756,0.013941066,0.018664216,0.13753604
1796,0.027014063,0.076801836,0.013807246,0.017686231,0.135309376
1797,0.026816086,0.07878235,0.013775696,0.017906206,0.137280338
1798,0.02665065,0.078654007,0.013723984,0.018043502,0.137072143
1799,0.026383955,0.076852821,0.013661083,0.017568123,0.134465981
1800,0.026356671,0.075065963,0.013632952,0.017053104,0.132108689
1801,0.025857462,0.077113203,0.013918075,0.018160227,0.135048967
1802,0.024837863,0.074253412,0.014038867,0.018995583,0.132125725
1803,0.02433553,0.074411833,0.014322864,0.0199927,0.133062928
1804,0.023834275,0.078285302,0.01460522,0.020211815,0.136936612
1805,0.023168454,0.073973198,0.014903993,0.020308193,0.132353837
1806,0.023034998,0.074721599,0.015233081,0.018510856,0.131500534
1807,0.022639307,0.074522895,0.015494534,0.017268977,0.129925713
1808,0.022075562,0.072529305,0.015749911,0.017429482,0.127784259
1809,0.021028707,0.067196047,0.016149817,0.01850771,0.122882281
1810,0.018973322,0.056830972,0.016560875,0.020291704,0.112656873
