year_ce,n_records,n_scars,percent_scarred
1700,15,0,0
1701,15,1,7
1702,15,0,0
1703,15,0,0
1704,15,1,7
1705,16,2,12
1706,19,5,26
1707,19,1,5
1708,20,1,5
1709,20,0,0
1710,20,0,0
1711,20,1,5
1712,20,1,5
1713,20,0,0
1714,20,2,10
1715,20,1,5
1716,21,2,10
1717,23,3,13
1718,24,2,8
1719,25,4,16
1720,27,5,19
1721,27,3,11
1722,28,2,7
1723,28,0,0
1724,28,0,0
1725,28,1,4
1726,28,1,4
1727,28,0,0
1728,28,0,0
1729,28,0,0
1730,29,1,3
1731,29,1,3
1732,29,1,3
1733,29,1,3
1734,29,0,0
1735,29,2,7
1736,29,1,3
1737,29,0,0
1738,30,2,7
1739,31,3,10
1740,32,2,6
1741,32,1,3
1742,32,0,0
1743,32,1,3
1744,32,3,9
1745,32,0,0
1746,32,0,0
1747,32,0,0
1748,32,2,6
1749,32,1,3
1750,32,0,0
1751,32,2,6
1752,32,1,3
1753,32,0,0
1754,32,2,6
1755,32,1,3
1756,32,5,16
1757,33,4,12
1758,33,3,9
1759,33,2,6
1760,33,2,6
1761,33,1,3
1762,33,1,3
1763,33,0,0
1764,33,0,0
1765,33,1,3
1766,33,0,0
1767,33,1,3
1768,34,3,9
1769,35,2,6
1770,35,1,3
1771,35,1,3
1772,37,5,14
1773,37,2,5
1774,37,2,5
1775,37,3,8
1776,37,1,3
1777,38,1,3
1778,38,2,5
1779,38,1,3
1780,38,1,3
1781,38,0,0
1782,38,0,0
1783,38,2,5
1784,38,3,8
1785,38,2,5
1786,38,1,3
1787,38,0,0
1788,38,2,5
1789,38,0,0
1790,38,1,3
1791,38,1,3
1792,40,4,10
1793,40,1,2
1794,41,6,15
1795,40,1,2
1796,40,1,2
1797,40,3,8
1798,40,1,2
1799,40,1,2
1800,44,6,14
1801,44,0,0
1802,44,2,5
1803,44,1,2
1804,46,3,7
1805,46,5,11
1806,46,0,0
1807,47,1,2
1808,48,3,6
1809,48,1,2
1810,48,0,0
1811,48,0,0
1812,48,1,2
1813,48,1,2
1814,48,2,4
1815,49,4,8
1816,49,0,0
1817,49,2,4
1818,50,2,4
1819,50,1,2
1820,50,2,4
1821,50,1,2
1822,51,2,4
1823,53,7,13
1824,53,0,0
1825,53,0,0
1826,53,1,2
1827,56,8,14
1828,57,4,7
1829,57,0,0
1830,57,1,2
1831,62,13,21
1832,62,1,2
1833,63,3,5
1834,64,5,8
1835,64,1,2
1836,64,1,2
1837,65,4,6
1838,65,0,0
1839,65,1,2
1840,65,4,6
1841,66,6,9
1842,66,2,3
1843,66,5,8
1844,66,2,3
1845,67,2,3
1846,68,6,9
1847,69,4,6
1848,72,6,8
1849,72,4,6
1850,72,1,1
1851,72,2,3
1852,72,2,3
1853,72,8,11
1854,72,1,1
1855,72,3,4
1856,72,4,6
1857,73,5,7
1858,73,5,7
1859,77,7,9
1860,77,1,1
1861,79,3,4
1862,81,4,5
1863,83,13,16
1864,83,4,5
1865,83,3,4
1866,83,2,2
1867,83,2,2
1868,83,1,1
1869,86,18,21
1870,87,7,8
1871,87,0,0
1872,87,3,3
1873,87,1,1
1874,87,0,0
1875,87,1,1
1876,87,0,0
1877,87,3,3
1878,89,3,3
1879,89,1,1
1880,90,3,3
1881,91,2,2
1882,92,4,4
1883,92,6,7
1884,91,2,2
1885,91,1,1
1886,93,10,11
1887,93,1,1
1888,96,5,5
1889,103,12,12
1890,103,1,1
1891,103,1,1
1892,104,3,3
1893,105,4,4
1894,105,3,3
1895,105,2,2
1896,108,9,8
1897,109,2,2
1898,109,1,1
1899,109,2,2
1900,109,0,0
1901,111,3,3
1902,111,2,2
1903,112,2,2
1904,113,2,2
1905,116,10,9
1906,118,3,3
1907,118,1,1
1908,120,4,3
1909,120,2,2
1910,126,25,20
1911,125,1,1
1912,125,0,0
1913,125,0,0
1914,125,2,2
1915,126,5,4
1916,128,3,2
1917,128,2,2
1918,128,1,1
1919,132,16,12
1920,132,1,1
1921,133,1,1
1922,133,5,4
1923,133,1,1
1924,133,0,0
1925,134,5,4
1926,134,1,1
1927,135,2,1
1928,135,1,1
1929,136,3,2
1930,136,0,0
1931,136,1,1
1932,136,1,1
1933,136,1,1
1934,136,1,1
1935,136,0,0
1936,136,4,3
1937,136,2,1
1938,136,3,2
1939,136,0,0
1940,136,1,1
1941,136,1,1
1942,136,2,1
1943,137,3,2
1944,137,0,0
1945,138,1,1
1946,138,3,2
1947,138,1,1
1948,138,1,1
1949,138,0,0
1950,138,0,0
1951,138,0,0
1952,139,1,1
1953,139,1,1
1954,139,0,0
1955,139,1,1
1956,139,1,1
1957,139,0,0
1958,139,0,0
1959,139,0,0
1960,140,1,1
1961,141,1,1
1962,141,0,0
1963,141,0,0
1964,141,0,0
1965,140,0,0
1966,140,3,2
1967,140,0,0
1968,140,0,0
1969,140,0,0
1970,140,0,0
1971,140,1,1
1972,141,2,1
1973,141,0,0
1974,141,0,0
1975,141,0,0
1976,141,0,0
1977,141,0,0
1978,139,0,0
1979,139,0,0
1980,138,0,0
1981,138,0,0
1982,138,1,1
1983,138,0,0
1984,138,0,0
1985,138,1,1
1986,138,0,0
1987,138,0,0
1988,138,0,0
1989,138,0,0
