year_ce,n_records,n_scars,percent_scarred
1700,50,0,0
1701,50,4,8
1702,50,8,16
1703,50,2,4
1704,56,11,20
1705,57,3,5
1706,57,1,2
1707,57,2,4
1708,60,4,7
1709,63,7,11
1710,64,3,5
1711,66,6,9
1712,68,3,4
1713,70,3,4
1714,71,7,10
1715,71,3,4
1716,71,2,3
1717,72,7,10
1718,73,8,11
1719,73,2,3
1720,74,10,14
1721,74,3,4
1722,74,1,1
1723,74,2,3
1724,74,6,8
1725,76,5,7
1726,77,3,4
1727,77,7,9
1728,79,3,4
1729,81,10,12
1730,82,5,6
1731,82,4,5
1732,82,5,6
1733,83,5,6
1734,85,9,11
1735,86,17,20
1736,90,17,19
1737,92,6,7
1738,92,5,5
1739,104,22,21
1740,104,5,5
1741,104,9,9
1742,104,3,3
1743,104,13,12
1744,106,5,5
1745,108,9,8
1746,109,10,9
1747,113,9,8
1748,115,8,7
1749,116,9,8
1750,117,3,3
1751,119,13,11
1752,121,17,14
1753,122,12,10
1754,122,3,2
1755,122,14,11
1756,126,18,14
1757,130,18,14
1758,132,15,11
1759,132,5,4
1760,134,13,10
1761,134,3,2
1762,135,14,10
1763,141,15,11
1764,142,8,6
1765,143,5,3
1766,144,7,5
1767,144,9,6
1768,145,14,10
1769,145,5,3
1770,145,8,6
1771,145,4,3
1772,147,19,13
1773,149,15,10
1774,150,23,15
1775,151,4,3
1776,151,8,5
1777,151,11,7
1778,152,4,3
1779,153,9,6
1780,155,44,28
1781,156,5,3
1782,157,7,4
1783,159,15,9
1784,160,11,7
1785,161,10,6
1786,162,26,16
1787,164,10,6
1788,165,9,5
1789,165,11,7
1790,167,16,10
1791,169,23,14
1792,170,9,5
1793,171,16,9
1794,171,15,9
1795,173,19,11
1796,174,18,10
1797,175,16,9
1798,177,12,7
1799,178,14,8
1800,180,14,8
1801,181,21,12
1802,182,21,12
1803,183,13,7
1804,186,22,12
1805,186,16,9
1806,187,23,12
1807,187,5,3
1808,187,22,12
1809,188,14,7
1810,189,11,6
1811,189,9,5
1812,189,10,5
1813,190,21,11
1814,190,11,6
1815,190,14,7
1816,192,23,12
1817,192,10,5
1818,192,15,8
1819,192,11,6
1820,193,28,15
1821,198,18,9
1822,199,19,10
1823,199,12,6
1824,199,13,7
1825,200,20,10
1826,201,20,10
1827,202,19,9
1828,202,14,7
1829,202,25,12
1830,202,12,6
1831,202,20,10
1832,202,14,7
1833,203,32,16
1834,203,15,7
1835,203,21,10
1836,203,18,9
1837,203,15,7
1838,204,23,11
1839,204,17,8
1840,204,22,11
1841,204,28,14
1842,203,20,10
1843,205,15,7
1844,205,12,6
1845,206,30,15
1846,207,26,13
1847,207,29,14
1848,208,14,7
1849,208,10,5
1850,209,19,9
1851,210,24,11
1852,211,25,12
1853,211,24,11
1854,211,14,7
1855,211,41,19
1856,211,22,10
1857,212,24,11
1858,212,4,2
1859,211,11,5
1860,211,24,11
1861,212,16,8
1862,211,23,11
1863,217,32,15
1864,217,22,10
1865,217,19,9
1866,217,30,14
1867,219,15,7
1868,220,29,13
1869,219,13,6
1870,218,24,11
1871,219,27,12
1872,217,28,13
1873,218,22,10
1874,218,15,7
1875,219,36,16
1876,219,7,3
1877,219,21,10
1878,219,20,9
1879,221,24,11
1880,222,25,11
1881,221,14,6
1882,222,14,6
1883,222,15,7
1884,221,16,7
1885,220,28,13
1886,220,27,12
1887,222,29,13
1888,222,25,11
1889,221,19,9
1890,221,12,5
1891,221,26,12
1892,220,14,6
1893,219,20,9
1894,221,17,8
1895,221,22,10
1896,222,18,8
1897,222,7,3
1898,221,23,10
1899,221,9,4
1900,221,38,17
1901,219,15,7
1902,217,15,7
1903,217,17,8
1904,216,17,8
1905,216,18,8
1906,213,8,4
1907,213,15,7
1908,211,14,7
1909,210,22,10
1910,212,35,17
1911,211,12,6
1912,211,3,1
1913,210,23,11
1914,208,14,7
1915,208,17,8
1916,207,12,6
1917,206,20,10
1918,205,10,5
1919,205,10,5
1920,204,11,5
1921,202,15,7
1922,200,9,4
1923,199,17,9
1924,199,10,5
1925,197,22,11
1926,197,8,4
1927,197,3,2
1928,196,6,3
1929,196,5,3
1930,196,16,8
1931,195,8,4
1932,195,8,4
1933,196,3,2
1934,198,13,7
1935,198,3,2
1936,198,12,6
1937,197,6,3
1938,197,2,1
1939,197,5,3
1940,197,9,5
1941,194,11,6
1942,193,7,4
1943,193,4,2
1944,193,7,4
1945,193,9,5
1946,192,4,2
1947,192,4,2
1948,191,4,2
1949,190,3,2
1950,189,5,3
1951,188,2,1
1952,189,7,4
1953,189,16,8
1954,191,12,6
1955,191,8,4
1956,190,5,3
1957,189,8,4
1958,189,6,3
1959,189,6,3
1960,189,5,3
1961,187,3,2
1962,187,6,3
1963,186,5,3
1964,185,7,4
1965,184,4,2
1966,184,6,3
1967,183,3,2
1968,183,4,2
1969,181,1,1
1970,180,3,2
1971,180,4,2
1972,178,3,2
1973,175,2,1
1974,174,3,2
1975,172,6,3
1976,171,3,2
1977,169,4,2
1978,169,7,4
1979,170,8,5
1980,170,7,4
1981,167,5,3
1982,166,8,5
1983,164,4,2
1984,162,5,3
1985,162,5,3
1986,161,6,4
1987,160,2,1
1988,160,5,3
1989,158,5,3
1990,157,3,2
1991,156,5,3
1992,154,7,5
1993,154,5,3
1994,154,7,5
1995,152,4,3
1996,149,5,3
1997,148,6,4
1998,148,7,5
1999,147,6,4
2000,142,5,4
2001,140,5,4
2002,138,5,4
2003,133,2,2
2004,128,7,5
2005,121,3,2
2006,102,2,2
2007,100,6,6
2008,94,4,4
2009,87,1,1
2010,82,3,4
2011,71,2,3
2012,64,1,2
2013,60,3,5
2014,54,0,0
2015,48,2,4
2016,39,1,3
2017,28,2,7
2018,11,0,0
2019,6,0,0
2020,4,0,0
