year_ce,n_records,n_scars,percent_scarred
1700,781,63,8
1701,782,12,2
1702,790,36,5
1703,802,64,8
1704,807,59,7
1705,811,54,7
1706,815,76,9
1707,826,68,8
1708,833,54,6
1709,843,44,5
1710,845,31,4
1711,850,29,3
1712,855,34,4
1713,858,35,4
1714,865,74,9
1715,870,93,11
1716,880,77,9
1717,884,46,5
1718,887,29,3
1719,895,46,5
1720,895,45,5
1721,902,74,8
1722,910,46,5
1723,914,43,5
1724,923,103,11
1725,931,65,7
1726,933,10,1
1727,936,55,6
1728,943,45,5
1729,960,208,22
1730,963,48,5
1731,965,32,3
1732,965,13,1
1733,977,79,8
1734,977,28,3
1735,994,111,11
1736,994,47,5
1737,995,62,6
1738,1004,60,6
1739,1012,100,10
1740,1015,44,4
1741,1019,37,4
1742,1022,37,4
1743,1024,28,3
1744,1026,38,4
1745,1039,72,7
1746,1040,20,2
1747,1040,29,3
1748,1089,347,32
1749,1095,59,5
1750,1099,38,3
1751,1102,110,10
1752,1116,158,14
1753,1120,69,6
1754,1124,26,2
1755,1125,63,6
1756,1132,82,7
1757,1137,70,6
1758,1137,33,3
1759,1145,85,7
1760,1147,50,4
1761,1147,31,3
1762,1154,65,6
1763,1162,164,14
1764,1163,34,3
1765,1173,144,12
1766,1175,15,1
1767,1176,52,4
1768,1182,79,7
1769,1184,66,6
1770,1187,77,6
1771,1190,61,5
1772,1197,111,9
1773,1209,186,15
1774,1211,43,4
1775,1211,43,4
1776,1218,106,9
1777,1224,125,10
1778,1230,84,7
1779,1232,53,4
1780,1237,96,8
1781,1239,81,7
1782,1249,120,10
1783,1257,121,10
1784,1257,30,2
1785,1261,168,13
1786,1271,115,9
1787,1274,18,1
1788,1274,64,5
1789,1278,115,9
1790,1279,27,2
1791,1282,86,7
1792,1282,48,4
1793,1282,54,4
1794,1287,157,12
1795,1293,172,13
1796,1295,60,5
1797,1299,85,7
1798,1303,93,7
1799,1307,79,6
1800,1313,128,10
1801,1324,169,13
1802,1326,45,3
1803,1328,84,6
1804,1329,55,4
1805,1333,102,8
1806,1342,186,14
1807,1342,44,3
1808,1343,61,5
1809,1346,66,5
1810,1346,62,5
1811,1346,42,3
1812,1347,141,10
1813,1351,61,5
1814,1351,69,5
1815,1352,24,2
1816,1351,43,3
1817,1354,82,6
1818,1359,131,10
1819,1369,121,9
1820,1369,75,5
1821,1370,26,2
1822,1385,274,20
1823,1391,91,7
1824,1394,84,6
1825,1395,38,3
1826,1396,58,4
1827,1397,55,4
1828,1398,55,4
1829,1404,210,15
1830,1406,66,5
1831,1411,70,5
1832,1411,67,5
1833,1411,42,3
1834,1414,122,9
1835,1416,71,5
1836,1419,98,7
1837,1418,52,4
1838,1419,40,3
1839,1421,67,5
1840,1423,113,8
1841,1425,212,15
1842,1433,191,13
1843,1434,82,6
1844,1437,71,5
1845,1444,95,7
1846,1454,93,6
1847,1458,165,11
1848,1459,51,3
1849,1460,63,4
1850,1462,39,3
1851,1471,283,19
1852,1472,51,3
1853,1473,37,3
1854,1471,74,5
1855,1476,157,11
1856,1476,74,5
1857,1480,133,9
1858,1480,43,3
1859,1484,85,6
1860,1487,90,6
1861,1488,189,13
1862,1488,30,2
1863,1495,160,11
1864,1500,98,7
1865,1500,30,2
1866,1497,31,2
1867,1499,63,4
1868,1500,87,6
1869,1502,70,5
1870,1503,221,15
1871,1512,147,10
1872,1510,48,3
1873,1505,97,6
1874,1504,30,2
1875,1505,57,4
1876,1504,47,3
1877,1505,43,3
1878,1504,35,2
1879,1505,194,13
1880,1508,116,8
1881,1505,23,2
1882,1503,34,2
1883,1501,62,4
1884,1501,19,1
1885,1498,26,2
1886,1501,122,8
1887,1496,81,5
1888,1496,34,2
1889,1493,114,8
1890,1492,59,4
1891,1487,21,1
1892,1486,44,3
1893,1486,73,5
1894,1486,36,2
1895,1484,33,2
1896,1483,43,3
1897,1482,16,1
1898,1476,39,3
1899,1475,55,4
1900,1473,46,3
1901,1465,18,1
1902,1462,30,2
1903,1461,14,1
1904,1469,42,3
1905,1469,21,1
1906,1468,13,1
1907,1463,9,1
1908,1459,16,1
1909,1457,15,1
1910,1459,57,4
1911,1456,13,1
1912,1455,7,0
1913,1454,6,0
1914,1452,9,1
1915,1451,8,1
1916,1451,15,1
1917,1448,27,2
1918,1445,26,2
1919,1443,25,2
1920,1436,8,1
1921,1433,19,1
1922,1432,15,1
1923,1431,21,1
1924,1429,17,1
1925,1427,15,1
1926,1423,10,1
1927,1417,11,1
1928,1414,11,1
1929,1411,13,1
1930,1408,8,1
1931,1403,16,1
1932,1402,23,2
1933,1400,8,1
1934,1400,13,1
1935,1398,5,0
1936,1396,7,1
1937,1391,6,0
1938,1392,14,1
1939,1389,4,0
1940,1389,3,0
1941,1383,9,1
1942,1382,6,0
1943,1386,31,2
1944,1381,4,0
1945,1380,6,0
1946,1375,4,0
1947,1375,6,0
1948,1371,2,0
1949,1368,4,0
1950,1362,7,1
1951,1352,13,1
1952,1351,3,0
1953,1350,7,1
1954,1349,31,2
1955,1346,3,0
1956,1343,10,1
1957,1339,5,0
1958,1338,6,0
1959,1335,6,0
1960,1334,9,1
1961,1328,3,0
1962,1325,5,0
1963,1322,3,0
1964,1318,2,0
1965,1316,2,0
1966,1310,8,1
1967,1305,1,0
1968,1303,2,0
1969,1298,8,1
1970,1294,4,0
1971,1288,4,0
1972,1287,17,1
1973,1283,6,0
1974,1279,2,0
1975,1275,4,0
1976,1272,8,1
1977,1269,6,0
1978,1264,7,1
1979,1262,6,0
1980,1256,4,0
1981,1245,2,0
1982,1242,4,0
1983,1236,2,0
1984,1232,4,0
1985,1224,9,1
1986,1215,8,1
1987,1207,2,0
1988,1190,13,1
1989,1188,12,1
1990,1182,1,0
1991,1173,3,0
1992,1152,1,0
1993,1094,10,1
1994,1068,26,2
1995,980,0,0
1996,927,5,1
1997,860,8,1
1998,832,4,0
1999,807,1,0
2000,749,4,1
2001,716,3,0
2002,657,2,0
2003,544,3,1
2004,466,1,0
2005,384,1,0
2006,296,0,0
2007,285,0,0
2008,277,0,0
2009,262,0,0
2010,215,1,0
2011,203,1,0
2012,178,0,0
2013,169,1,1
2014,163,0,0
2015,121,0,0
2016,105,0,0
2017,75,0,0
2018,56,0,0
2019,33,0,0
2020,14,0,0
2021,5,0,0
2022,4,0,0
