Proxy type,Lat,Long,SiteID
Ice core,71.4,-44,D4
Ice core,72.6,-38.3,Summit2010
Ice core,77.5,-51.1,NEEM_2011_S1
Ice core,78,-33.8,Tunu2013
Ice core,66.5,-46.3,ACT11d
Ice core,66,-45.2,ACT2
Ice core,78,-36.4,NGT_B19
Ice core,78.5,-56.8,Humboldt
Ice core,81.6,-15.7,Flade_Isblink
Ice core,82.5,-37.5,Hans_Tausen
Ice core,73.8,-49.5,NasaU
Ice core,43.1,-109.6,Upper_Fremont_Glacier
Ice core,69.3,-143.8,McCall_Glacier
Ice core,60.5,-139.5,Eclipse
Ice core,80.5,94.8,Akademii_Nauk
Ice core,45.9,7.9,Colle_Gnifetti
